periodo,ars,aces,localizacao_geografica,utentes_inscritos_csp,total_utentes_com_mdf_atribuido,total_utentes_com_mdf_atribuido0,total_utentes_sem_mdf_atribuido,total_utentes_sem_mdf_atribuido0,total_utentes_sem_mdf_atribuido_por_opcao,total_utentes_sem_mdf_atribuido_por_opcao0,taxa_de_utilizacao_consultas_medicas_1_ano_todos_os_utentes,taxa_de_utilizacao_consultas_medicas_1_ano_nos_utentes_sem_mdf
2018-05,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",123422,120536,97.66,2837,2.3,49,0.04,72.2782,62.9373
2018-05,Norte,ACES Baixo Tâmega,"41.2719719, -8.0791631",168447,165998,98.55,2025,1.2,424,0.25,74.9307,41.2413
2018-05,Norte,ACES Feira e Arouca,"40.9263169, -8.5478813",152491,151586,99.41,754,0.49,151,0.1,74.1931,63.0243
2018-05,Norte,ACES Maia / Valongo,"41.2333945, -8.6187474",218523,216586,99.11,1844,0.84,93,0.04,71.3023,59.0088
2018-05,Norte,ACES Marão e Douro Norte,"41.2968711, -7.7483727",106217,105852,99.66,23,0.02,342,0.32,75.9087,4.33604
2018-05,Norte,ACES Nordeste,"41.8069684, -6.7587977",131552,128875,97.97,1869,1.42,808,0.61,75.1767,62.3086
2018-05,Norte,ACES Porto Oriental,"41.1694498, -8.6126428",117487,115291,98.13,2163,1.84,33,0.03,68.918,61.0833
2018-05,Norte,ACES Santo Tirso / Trofa,"41.3469246, -8.4822648",115714,115608,99.91,86,0.07,20,0.02,73.9377,19.2857
2018-05,Norte,ACES Vale do Sousa Norte,"41.2793583, -8.2787457",160005,158371,98.98,1625,1.02,9,0.01,75.8079,70.3182
2018-06,Alentejo,ACES Alentejo Central,"38.8442031, -7.5826619",166508,166294,99.87,49,0.03,165,0.1,74.8817,60.7663
2018-06,Centro,ACES Baixo Mondego,"40.2150023, -8.4071805",384870,371661,96.57,11057,2.87,2152,0.56,71.4474,39.788
2018-06,Centro,ACES Baixo Vouga,"40.6405055, -8.6537539",384066,371547,96.74,10192,2.65,2327,0.61,71.9806,45.6899
2018-06,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",172057,121101,70.38,50718,29.48,238,0.14,55.6819,39.3815
2018-06,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",201384,175303,87.05,24975,12.4,1106,0.55,54.6244,30.1867
2018-06,Norte,ACES Alto Minho,"41.7056054, -8.8252713",244741,244175,99.77,262,0.11,304,0.12,76.1793,32.2124
