periodo,regiao,instituicao,localizacao_geografica,medicos_s_internos,medicos_internos,enfermeiros,tss,farmaceuticos,farmaceuticos_residentes,tdt,at,ao,tas,ao0,ts,informaticos,outros,total_geral
2024-05,Região de Saúde Norte,"Unidade Local de Saúde do Alto Ave, E.P.E.","41.4387173, -8.3086907",508.0,252.0,1163.0,9.0,14.0,6.0,154.0,335.0,472.0,,,67.0,7.0,17.0,3004
2024-05,Região de Saúde Norte,"Unidade Local de Saúde Alto Minho, E.P.E.","41.7056054, -8.8252713",477.0,206.0,1060.0,25.0,14.0,5.0,138.0,399.0,608.0,,,74.0,17.0,14.0,3037
2024-06,Região de Saúde do Alentejo,"Administração Regional de Saúde do Alentejo, I.P.",,5.0,,5.0,3.0,,,14.0,23.0,6.0,,,33.0,5.0,6.0,100
2024-06,Serviços Centrais,"Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.",,,,,,10.0,,2.0,66.0,5.0,,,277.0,,32.0,392
2024-06,Região de Saúde LVT,"Instituto Português de Oncologia de Lisboa Francisco Gentil, E.P.E.","38.7396768, -9.1634516",277.0,106.0,629.0,18.0,22.0,5.0,214.0,246.0,452.0,,,84.0,11.0,35.0,2099
2024-06,Serviços Centrais,"Instituto Português do Sangue e da Transplantação, I.P.",,20.0,,91.0,8.0,8.0,,126.0,78.0,81.0,,,53.0,10.0,6.0,481
2024-06,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Leiria, E.P.E.","39.7414812, -8.7982706",470.0,221.0,1274.0,18.0,10.0,5.0,189.0,427.0,584.0,,,70.0,12.0,8.0,3288
2024-06,Região de Saúde do Centro,"Unidade Local de Saúde Castelo Branco, E.P.E.","39.8212263, -7.4981271",139.0,54.0,536.0,7.0,10.0,4.0,104.0,179.0,335.0,,,32.0,11.0,7.0,1418
2024-06,Região de Saúde LVT,"Unidade Local de Saúde de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",894.0,523.0,1807.0,25.0,27.0,7.0,386.0,604.0,1104.0,,,108.0,13.0,56.0,5554
2024-06,Região de Saúde LVT,"Unidade Local de Saúde de Santa Maria, E.P.E.","38.7500861, -9.1616116",1077.0,749.0,2220.0,39.0,49.0,10.0,561.0,759.0,1540.0,,,211.0,26.0,65.0,7306
2024-06,Região de Saúde Norte,"Unidade Local de Saúde de Santo António, E.P.E.","41.1475731, -8.6195786",1119.0,664.0,2146.0,51.0,40.0,13.0,365.0,651.0,1165.0,,,146.0,18.0,49.0,6427
2024-06,Região de Saúde do Algarve,"Unidade Local de Saúde do Algarve, E.P.E.","37.0238973, -7.9281554",751.0,422.0,2287.0,23.0,35.0,9.0,523.0,903.0,1308.0,,,197.0,25.0,66.0,6549
2024-06,Região de Saúde do Alentejo,"Unidade Local de Saúde do Alto Alentejo, E.P.E.","39.3003425, -7.4263845",155.0,35.0,611.0,1.0,10.0,1.0,132.0,262.0,409.0,,,45.0,9.0,22.0,1692
2024-06,Região de Saúde Norte,"Unidade Local de Saúde Alto Minho, E.P.E.","41.7056054, -8.8252713",478.0,206.0,1074.0,25.0,14.0,5.0,137.0,401.0,608.0,,,74.0,17.0,14.0,3053
2024-06,Região de Saúde do Alentejo,"Unidade Local de Saúde Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",91.0,45.0,418.0,2.0,4.0,,100.0,165.0,251.0,,,30.0,6.0,9.0,1121
2024-06,Região de Saúde Norte,"Unidade Local de Saúde Nordeste, E.P.E.","41.8056532, -6.7888197",199.0,114.0,734.0,20.0,8.0,,144.0,277.0,513.0,,,49.0,12.0,18.0,2088
2024-07,Região de Saúde do Algarve,"Administração Regional de Saúde do Algarve, I.P.",,5.0,,11.0,1.0,3.0,,20.0,33.0,26.0,,,54.0,6.0,8.0,167
2024-07,Região de Saúde do Centro,"Administração Regional de Saúde do Centro, I.P.",,8.0,,5.0,,5.0,,14.0,67.0,16.0,,,69.0,6.0,8.0,198
2024-07,Serviços Centrais,"Instituto Nacional de Saúde Doutor Ricardo Jorge, I.P.",,6.0,,4.0,58.0,25.0,10.0,102.0,75.0,57.0,,,140.0,8.0,84.0,569
2024-07,Serviços Centrais,"Instituto para os Comportamentos Aditivos e as Dependências, I.P.",,63.0,,246.0,128.0,,,7.0,266.0,92.0,,,323.0,13.0,87.0,1225
2024-07,Região de Saúde do Centro,"Instituto Português de Oncologia de Coimbra Francisco Gentil, E.P.E.","40.2162514, -8.4103814",163.0,55.0,292.0,14.0,12.0,6.0,112.0,115.0,265.0,,,36.0,5.0,12.0,1087
2024-07,Região de Saúde LVT,"Instituto Português de Oncologia de Lisboa Francisco Gentil, E.P.E.","38.7396768, -9.1634516",275.0,105.0,615.0,19.0,24.0,5.0,214.0,245.0,449.0,,,84.0,11.0,36.0,2082
2024-07,Região de Saúde Norte,"Instituto Português de Oncologia do Porto Francisco Gentil, E.P.E.","41.1785642, -8.6062881",360.0,110.0,800.0,31.0,26.0,9.0,209.0,228.0,572.0,,,92.0,13.0,51.0,2501
2024-07,Região de Saúde Norte,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, E.P.E.","41.3828711, -8.7589945",235.0,89.0,470.0,11.0,6.0,1.0,54.0,171.0,184.0,,,37.0,7.0,8.0,1273
2024-07,Região de Saúde LVT,"Unidade Local de Saúde de Almada-Seixal, E.P.E.","38.6658713, -9.1822554",632.0,293.0,1323.0,11.0,15.0,5.0,261.0,437.0,725.0,,,94.0,13.0,35.0,3844
2024-07,Região de Saúde LVT,"Unidade Local de Saúde de Loures-Odivelas, E.P.E.","38.8218941, -9.1764105",392.0,200.0,634.0,11.0,7.0,3.0,122.0,337.0,421.0,,,69.0,4.0,21.0,2221
2024-07,Região de Saúde LVT,"Unidade Local de Saúde de Santa Maria, E.P.E.","38.7500861, -9.1616116",1075.0,723.0,2187.0,39.0,49.0,10.0,559.0,760.0,1524.0,,,210.0,26.0,64.0,7226
