tempo,regiao,instituicao,localizacao_geografica,no_episodios_cirurgicos_ambulat_com_procedimentos_ambulatorizaveis,no_episodios_cirurgicos_ambulat_e_intern_com_proced_ambulatorizaveis,cir_ambulatorio_gdh_para_procedimentos_ambulatorizaveis
2020-07,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",268,443,60.5
2020-07,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",1452,1717,84.6
2020-07,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",603,675,89.3
2020-07,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",1752,2141,81.8
2020-07,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2020-07,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",448,951,47.1
2020-08,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",523,676,77.4
2020-08,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",689,800,86.1
2020-08,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",1371,1515,90.5
2020-08,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",1096,1274,86.0
2020-08,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",2210,2645,83.6
2020-08,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2020-08,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",1363,1363,100.0
2020-08,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1143,1364,83.8
2020-08,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",2922,3529,82.8
2020-09,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",677,757,89.4
2020-09,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",862,991,87.0
2020-09,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",3611,4476,80.7
2020-09,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",1254,1453,86.3
2020-09,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",812,1098,74.0
2020-09,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",111,537,20.7
2020-09,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",619,891,69.5
2020-09,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",4285,4691,91.3
2020-09,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",520,1126,46.2
2020-10,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",681,900,75.7
2020-10,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",842,934,90.1
2020-10,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",4395,4811,91.4
2020-10,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",1955,2166,90.3
2020-10,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",262,335,78.2
2020-10,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",4019,4750,84.6
2020-10,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",2549,2759,92.4
2020-10,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",2346,2739,85.7
2020-10,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",1872,1872,100.0
2020-10,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",5729,6834,83.8
2020-10,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",3212,3780,85.0
2020-10,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",2380,2850,83.5
2020-10,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2020-11,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",2064,2492,82.8
2020-11,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",976,1087,89.8
2020-11,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",1136,1326,85.7
2020-11,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",3268,4024,81.2
2020-11,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",320,320,100.0
2020-11,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",310,386,80.3
2020-11,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",2651,3092,85.7
2020-11,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",2564,2866,89.5
2020-11,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",3437,4073,84.4
2020-11,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",5202,6317,82.3
2020-11,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",2681,3170,84.6
2020-11,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",2835,3166,89.5
2020-12,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",1201,1396,86.0
2020-12,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",5312,6586,80.7
2020-12,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",343,343,100.0
2020-12,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",2417,2894,83.5
2020-12,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",2809,3141,89.4
2020-12,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",5710,6886,82.9
2020-12,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2020-12,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",1777,1961,90.6
2020-12,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",642,1425,45.1
2021-01,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",129,138,93.5
2021-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",21,35,60.0
2021-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",74,74,100.0
2021-01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",280,358,78.2
2021-01,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",24,25,96.0
2021-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2021-01,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",244,264,92.4
2021-01,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",650,664,97.9
2021-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",184,188,97.9
2021-01,Região de Saúde Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",77,96,80.2
2021-01,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",649,687,94.5
2021-01,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",330,343,96.2
2021-02,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",278,304,91.4
2021-02,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",260,272,95.6
2021-02,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",158,201,78.6
2021-02,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",241,244,98.8
2021-02,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",89,96,92.7
2021-02,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",88,99,88.9
2021-02,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",473,507,93.3
2021-02,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",27,137,19.7
2021-02,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2021-03,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",389,478,81.4
2021-03,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",121,127,95.3
2021-03,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",55,57,96.5
2021-03,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",66,106,62.3
2021-03,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",227,260,87.3
2021-03,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",247,270,91.5
2021-03,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",949,1074,88.4
2021-03,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",41,229,17.9
2021-03,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",2367,2714,87.2
2021-03,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",121,334,36.2
2021-04,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",601,755,79.6
2021-04,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",981,1022,96.0
2021-04,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",77,79,97.5
2021-04,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",2057,2352,87.5
2021-04,Região de Saúde LVT,Instituto Gama Pinto,"38.7218793, -9.144249",1315,1315,100.0
2021-04,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",2363,2599,90.9
2021-04,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",1759,1999,88.0
2021-04,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",1037,1187,87.4
2021-05,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",1792,1924,93.1
2021-05,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",767,887,86.5
2021-05,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2021-05,Região de Saúde LVT,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",3228,3536,91.3
2021-05,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",2924,3272,89.4
2021-05,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",1665,1872,88.9
2021-05,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",212,586,36.2
2021-05,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",1397,1599,87.4
2021-06,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1349,1554,86.8
2021-06,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",811,869,93.3
2021-06,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",816,964,84.6
2021-06,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",3657,4459,82.0
2021-06,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",2374,2537,93.6
2021-06,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2021-06,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",885,1053,84.0
2021-06,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",3160,3650,86.6
2021-06,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",2707,3025,89.5
2021-06,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",1080,1325,81.5
2021-06,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",1421,1629,87.2
2021-06,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",1264,1563,80.9
2021-06,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",3426,3807,90.0
2021-06,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",2840,3270,86.9
2021-06,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",1908,2146,88.9
2021-06,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",236,698,33.8
2021-07,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",629,812,77.5
2021-07,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",971,1106,87.8
2021-07,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",4364,5303,82.3
2021-07,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",3212,3607,89.0
2021-07,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",5257,6795,77.4
2021-07,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2021-08,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1638,1904,86.0
2021-08,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",1931,2453,78.7
2021-08,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2021-08,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",338,338,100.0
2021-08,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",386,597,64.7
2021-08,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",4097,4730,86.6
2021-08,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",1709,2066,82.7
2021-08,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",2002,2148,93.2
2021-08,Região de Saúde LVT,"Hospital de Cascais, PPP","38.729006, -9.418267",2548,2775,91.8
2021-08,Região de Saúde LVT,"Hospital de Loures, PPP","38.821455, -9.176296",1999,2287,87.4
2021-08,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",1579,1819,86.8
2021-08,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",110,602,18.3
2021-08,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",5470,7128,76.7
2021-08,Região de Saúde Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",4190,4732,88.5
2021-08,Região de Saúde Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0,0,
2021-08,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",319,897,35.6
2021-09,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",4965,5397,92.0
2021-09,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",380,380,100.0
2021-09,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",2482,2659,93.3
2021-09,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",4151,4669,88.9
2021-09,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",1688,1949,86.6
2021-09,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",2296,2767,83.0
2021-09,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",2569,2868,89.6
2021-09,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",2498,2866,87.2
2021-10,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",5608,6089,92.1
2021-10,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",681,697,97.7
2021-10,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",52,433,12.0
2021-10,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",2273,2733,83.2
2021-10,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2021-10,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE","38.977235, -8.984506",5946,6598,90.1
2021-10,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",2841,3183,89.3
2021-10,Região de Saúde Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",6794,8840,76.9
2021-10,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",4949,5633,87.9
2021-10,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",4718,5415,87.1
2021-10,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",3042,3515,86.5
2021-11,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",2411,2817,85.6
2021-11,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",1646,1943,84.7
2021-11,Região de Saúde do Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",6268,6774,92.5
2021-11,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",3599,4268,84.3
2021-11,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",3004,3223,93.2
2021-11,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1467,1850,79.3
2021-11,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",1627,1860,87.5
2021-11,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",2362,2812,84.0
2021-11,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",5418,6182,87.6
2021-11,Região de Saúde Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",461,1231,37.4
2021-12,Região de Saúde do Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",2593,3062,84.7
2021-12,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",2980,3729,79.9
2021-12,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",4952,5275,93.9
2021-12,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",3182,3410,93.3
2021-12,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",845,861,98.1
2021-12,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",350,380,92.1
2021-12,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1587,1995,79.5
2021-12,Região de Saúde LVT,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",5739,6441,89.1
2021-12,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2021-12,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",3409,3820,89.2
2021-12,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",189,895,21.1
2021-12,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",2792,3276,85.2
2021-12,Região de Saúde Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",8973,10409,86.2
2021-12,Região de Saúde Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",5776,6620,87.3
2021-12,Região de Saúde Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",3634,4137,87.8
2021-12,Região de Saúde Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",3805,4395,86.6
2022-01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",123,138,89.1
2022-01,Região de Saúde do Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",162,177,91.5
2022-01,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",376,401,93.8
2022-01,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",66,69,95.7
2022-01,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",18,53,34.0
2022-01,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",432,479,90.2
2022-01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",141,206,68.4
2022-01,Região de Saúde LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0,0,
2022-01,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",189,212,89.2
2022-01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",265,301,88.0
2022-01,Região de Saúde Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",611,717,85.2
2022-01,Região de Saúde Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",235,241,97.5
2022-02,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",500,649,77.0
2022-02,Região de Saúde do Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",944,1026,92.0
2022-02,Região de Saúde do Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0,0,
2022-02,Região de Saúde do Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",134,138,97.1
2022-02,Região de Saúde do Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",35,107,32.7
2022-02,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",132,143,92.3
2022-03,Região de Saúde do Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",217,276,78.6
2022-03,Região de Saúde do Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",1362,1439,94.6
2022-03,Região de Saúde LVT,"Hospital de Loures, EPE","38.821455, -9.176296",1490,1622,91.9
2022-03,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE","38.977235, -8.984506",685,777,88.2
2022-03,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",771,882,87.4
2022-04,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",582,735,79.2
2022-04,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",844,975,86.6
2022-04,Região de Saúde LVT,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",751,898,83.6
2022-04,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",71,327,21.7
2022-04,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",749,912,82.1
2022-05,Região de Saúde do Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",115,115,100.0
2022-05,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",727,913,79.6
2022-05,Região de Saúde LVT,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",2824,3172,89.0
2022-05,Região de Saúde LVT,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",1453,1557,93.3
2022-05,Região de Saúde LVT,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",1077,1243,86.6
2022-05,Região de Saúde LVT,"Hospital de Vila Franca de Xira, EPE","38.977235, -8.984506",1038,1201,86.4
2022-05,Região de Saúde LVT,"Instituto Português Oncologia de Lisboa, EPE","38.7396768, -9.1634516",87,415,21.0
2022-05,Região de Saúde Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1014,1226,82.7
2022-05,Região de Saúde Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",2264,2580,87.8
2022-06,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",1963,2405,81.6
