tempo,periodoformat2,regiao,instituicao,localizacao_geografica,urgencias_geral,urgencias_pediatricas,urgencia_obstetricia,urgencia_psiquiatrica,total_urgencias
2023-10,2023/10/01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",153526.0,52923.0,19256.0,,225705.0
2023-10,2023/10/01,Região de Saúde do Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",44166.0,15625.0,,,59791.0
2023-10,2023/10/01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629, -9.1258493",99327.0,37293.0,3046.0,,139666.0
2023-10,2023/10/01,Região de Saúde Norte,"Hospital de Braga, EPE","41.56785, -8.398982",128165.0,38403.0,11206.0,,177774.0
2023-11,2023/11/01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",71297.0,7457.0,2298.0,,81052.0
2023-11,2023/11/01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE","37.0238973, -7.9281554",264330.0,64058.0,17054.0,0.0,345442.0
2023-11,2023/11/01,Região de Saúde LVT,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",104686.0,30715.0,8405.0,,143806.0
2023-11,2023/11/01,Região de Saúde LVT,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",83904.0,28122.0,15533.0,,127559.0
2023-11,2023/11/01,Região de Saúde LVT,"Centro Hospitalar do Oeste, EPE","39.4054629, -9.1258493",108596.0,41897.0,3419.0,,153912.0
2023-11,2023/11/01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",108252.0,27971.0,4422.0,,140645.0
2023-11,2023/11/01,Região de Saúde LVT,"Hospital de Loures, EPE","38.821455, -9.176296",72199.0,28391.0,12922.0,0.0,113512.0
2023-11,2023/11/01,Região de Saúde LVT,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",160577.0,51710.0,17970.0,,230257.0
2023-12,2023/12/01,Região de Saúde do Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",97088.0,,,,97088.0
2023-12,2023/12/01,Região de Saúde do Algarve,"Centro Hospitalar Universitário do Algarve,EPE","37.0238973, -7.9281554",287985.0,71406.0,18299.0,0.0,377690.0
2023-12,2023/12/01,Região de Saúde do Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",182146.0,66076.0,23338.0,,271560.0
2023-12,2023/12/01,Região de Saúde do Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",78478.0,15301.0,4157.0,,97936.0
2023-12,2023/12/01,Região de Saúde LVT,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",118499.0,31037.0,4822.0,,154358.0
2023-12,2023/12/01,Região de Saúde LVT,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",86413.0,47187.0,16888.0,0.0,150488.0
2023-12,2023/12/01,Região de Saúde Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",104151.0,35736.0,11212.0,,151099.0
2023-12,2023/12/01,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",101846.0,,,,101846.0
2024-01,2024/01/01,Região de Saúde LVT,"Unidade Local de Saúde da Arrábida, EPE","38.529351, -8.881073",5433.0,2425.0,515.0,,8373.0
2024-01,2024/01/01,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Aveiro, EPE","40.636332, -8.654388",9435.0,3589.0,470.0,,13494.0
2024-01,2024/01/01,Região de Saúde LVT,"Unidade Local de Saúde de Loures-Odivelas, EPE","38.821769, -9.176301",5471.0,2105.0,1430.0,0.0,9006.0
2024-01,2024/01/01,Região de Saúde Norte,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, EPE","41.310331, -7.760103",14981.0,2852.0,475.0,,18308.0
2024-01,2024/01/01,Região de Saúde Norte,"Unidade Local de Saúde do Nordeste, EPE","41.802452, -6.768198",8927.0,,,,8927.0
2024-01,2024/01/01,Região de Saúde Norte,"Unidade Local de Saúde do Tâmega e Sousa, EPE","41.1971153671548, -8.0",10812.0,2333.0,956.0,,14101.0
2025-01,2025/01/01,Região de Saúde do Centro,"Unidade Local de Saúde Castelo Branco, EPE","39.822737, -7.499876",4412.0,1477.0,244.0,,6133.0
2025-01,2025/01/01,Região de Saúde Norte,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE","41.383183, -8.758784",5561.0,,,,5561.0
2025-01,2025/01/01,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Leiria, EPE","39.7418, -8.79444",9564.0,2406.0,581.0,,12551.0
2025-01,2025/01/01,Região de Saúde Norte,"Unidade Local de Saúde de Braga, EPE","41.562328338623, -8.3",11339.0,3362.0,943.0,,15644.0
2025-01,2025/01/01,Região de Saúde Norte,"Unidade Local de Saúde de Santo António, EPE","41.147283, -8.619536",9888.0,,1303.0,,11191.0
2025-01,2025/01/01,Região de Saúde LVT,"Unidade Local de Saúde de São José, EPE","38.7169, -9.13654",10440.0,6548.0,1609.0,428.0,19025.0
2025-01,2025/01/01,Região de Saúde do Algarve,"Unidade Local de Saúde do Algarve, EPE","37.024668, -7.928949",23862.0,6775.0,1042.0,0.0,31679.0
2025-01,2025/01/01,Região de Saúde Norte,"Unidade Local de Saúde do Alto Ave, EPE","41.488574, -8.338685",8026.0,2426.0,810.0,,11262.0
2025-01,2025/01/01,Região de Saúde LVT,"Unidade Local de Saúde do Médio Tejo, EPE","39.605565, -8.404399",9938.0,2790.0,258.0,,12986.0
2026-01,2026/01/01,Região de Saúde Norte,"Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde, EPE","41.383183, -8.758784",5037.0,,,,5037.0
