tempo,regiao,encargos_sns_hospitalar,ano,mes
2019-12-01,Alentejo,3170997.97,2019,12
2023-03-01,Algarve,5487265.98,2023,3
2024-12-01,Lisboa e Vale do Tejo,82417954.3699999,2024,12
2011-02-01,Centro,13817577.66,2011,2
2013-07-01,Algarve,3253862.56,2013,7
2014-04-01,Algarve,2853604.060000004,2014,4
2014-06-01,Norte,23942957.32999999,2014,6
2015-07-01,Algarve,4817193.26,2015,7
2015-10-01,Centro,17920506.200000003,2015,10
2017-05-01,Lisboa e Vale do Tejo,50714203.559999995,2017,5
2017-05-01,Norte,33590001.230000004,2017,5
2018-09-01,Centro,17787726.2,2018,9
2019-03-01,Centro,17993035.19,2019,3
2021-01-01,Algarve,4132125.3,2021,1
2021-10-01,Lisboa e Vale do Tejo,54783717.82,2021,10
2024-04-01,Norte,72590008.40999997,2024,4
2024-05-01,Algarve,6222246.470000005,2024,5
2011-05-01,Norte,27435735.889999997,2011,5
2017-11-01,Lisboa e Vale do Tejo,52063323.12,2017,11
2018-02-01,Norte,34693357.29000001,2018,2
2019-09-01,Alentejo,3221223.03,2019,9
2020-09-01,Algarve,2370412.5,2020,9
2020-09-01,Norte,45121379.94,2020,9
2022-02-01,Algarve,4407790.549999996,2022,2
2022-07-01,Norte,58230084.84999999,2022,7
2023-06-01,Alentejo,4605959.240000004,2023,6
2024-08-01,Algarve,7031928.029999999,2024,8
2024-12-01,Algarve,6540946.950000003,2024,12
2011-03-01,Lisboa e Vale do Tejo,42615092.599999994,2011,3
2011-12-01,Norte,25300854.92,2011,12
2013-04-01,Norte,24639936.65,2013,4
2014-10-01,Alentejo,2819407.6600000006,2014,10
2015-01-01,Alentejo,2559295.96,2015,1
2015-06-01,Algarve,4189775.55,2015,6
2016-01-01,Algarve,4354730.65,2016,1
2017-11-01,Centro,18631041.42,2017,11
2020-02-01,Centro,18845740.27,2020,2
2020-10-01,Centro,21490892.32,2020,10
2020-12-01,Norte,17144064.64,2020,12
2021-11-01,Algarve,3946461.48,2021,11
2022-06-01,Norte,51439001.26000015,2022,6
2023-09-01,Centro,27067729.529999945,2023,9
2024-08-01,Norte,74350362.77000012,2024,8
2011-01-01,Centro,14782195.77,2011,1
2011-05-01,Alentejo,2820105.6799999997,2011,5
2011-06-01,Lisboa e Vale do Tejo,39749575.81,2011,6
2011-07-01,Norte,25782289.18,2011,7
2012-01-01,Lisboa e Vale do Tejo,40044250.47,2012,1
2012-12-01,Norte,21206816.13,2012,12
2013-04-01,Algarve,3211674.59,2013,4
2013-05-01,Algarve,3079230.08,2013,5
2013-10-01,Alentejo,2856375.9699999997,2013,10
2014-03-01,Alentejo,2608181.38,2014,3
2014-05-01,Lisboa e Vale do Tejo,36072101.74000001,2014,5
2015-09-01,Alentejo,2922502.530000001,2015,9
2015-10-01,Alentejo,2915743.0999999996,2015,10
2016-03-01,Centro,18265506.04,2016,3
2016-09-01,Alentejo,3446513.43,2016,9
2017-05-01,Centro,16935553.39,2017,5
2017-06-01,Centro,16833213.15,2017,6
2017-08-01,Algarve,4100171.37,2017,8
2017-09-01,Norte,32115459.980000004,2017,9
2017-10-01,Centro,17852022.15,2017,10
2018-10-01,Algarve,3769136.8,2018,10
2018-11-01,Centro,15957930.62,2018,11
2020-01-01,Alentejo,3656859.74,2020,1
2020-03-01,Norte,45558731.77,2020,3
2020-06-01,Centro,18607181.32,2020,6
2021-04-01,Algarve,4423037.5,2021,4
2022-04-01,Alentejo,3607284.929999999,2022,4
2022-09-01,Norte,57287975.139999725,2022,9
2023-05-01,Alentejo,4928332.360000007,2023,5
2024-01-01,Centro,31147549.290000096,2024,1
2024-03-01,Centro,26199182.59,2024,3
2024-04-01,Alentejo,5391614.219999997,2024,4
2024-05-01,Lisboa e Vale do Tejo,84753051.49000007,2024,5
2021-12-01,Algarve,1218684.94,2021,12
2023-12-01,Norte,7282060.290000016,2023,12
2024-09-01,Norte,67274891.85000013,2024,9
2021-03-01,Norte,52598238.3,2021,3
2022-05-01,Centro,26238180.030000057,2022,5
2011-12-01,Lisboa e Vale do Tejo,40608773.620000005,2011,12
2012-03-01,Lisboa e Vale do Tejo,39581383.24000001,2012,3
2012-08-01,Lisboa e Vale do Tejo,39598048.16,2012,8
2013-05-01,Norte,26417449.4,2013,5
2015-06-01,Centro,19433820.51,2015,6
2015-08-01,Centro,16189253.79,2015,8
2017-02-01,Centro,15401635.53,2017,2
2018-09-01,Algarve,3959053.13,2018,9
2019-02-01,Centro,17250286.14,2019,2
2019-07-01,Centro,20005698.87,2019,7
2019-08-01,Norte,38881987.14,2019,8
2020-10-01,Norte,46450095.71,2020,10
2021-02-01,Lisboa e Vale do Tejo,48687160.34,2021,2
2021-06-01,Algarve,4516059.76,2021,6
2021-07-01,Lisboa e Vale do Tejo,59145746.5,2021,7
2022-03-01,Lisboa e Vale do Tejo,70587089.67000034,2022,3
2022-05-01,Alentejo,4018011.400000002,2022,5
2022-07-01,Algarve,4493067.16,2022,7
2022-07-01,Centro,24816403.56,2022,7
2024-07-01,Norte,77055542.47000024,2024,7
2022-09-01,Alentejo,4492632.3800000055,2022,9
2020-08-01,Lisboa e Vale do Tejo,48425724.41,2020,8
2021-03-01,Lisboa e Vale do Tejo,60105113.89,2021,3
2021-11-01,Centro,24163407.18,2021,11
2022-06-01,Centro,24470394.720000032,2022,6
2023-01-01,Centro,27614785.659999978,2023,1
2024-01-01,Alentejo,5321111.460000002,2024,1
2011-08-01,Algarve,3299500.94,2011,8
2012-07-01,Lisboa e Vale do Tejo,40600984.46999999,2012,7
2013-06-01,Algarve,2768135.2,2013,6
2013-10-01,Centro,14238102.13,2013,10
2014-01-01,Centro,13997446.800000004,2014,1
2014-06-01,Algarve,2977703.200000001,2014,6
2015-04-01,Algarve,3698712.84,2015,4
2015-11-01,Lisboa e Vale do Tejo,52358497.28999999,2015,11
2016-12-01,Centro,12060933.13000001,2016,12
2017-08-01,Lisboa e Vale do Tejo,50013445.0,2017,8
2017-09-01,Algarve,3447175.5,2017,9
2017-10-01,Alentejo,3460046.930000001,2017,10
2018-04-01,Lisboa e Vale do Tejo,47604724.69,2018,4
2018-07-01,Alentejo,3320023.149999999,2018,7
2018-10-01,Lisboa e Vale do Tejo,48266322.28,2018,10
2018-12-01,Algarve,2714292.2,2018,12
2019-05-01,Alentejo,3229629.22,2019,5
2019-06-01,Algarve,3599870.01,2019,6
2019-12-01,Algarve,1470465.1,2019,12
2020-03-01,Algarve,4632813.38,2020,3
2020-05-01,Centro,17077494.61,2020,5
2020-05-01,Norte,38412420.85,2020,5
2020-07-01,Alentejo,3534480.21,2020,7
2020-11-01,Centro,20685641.05,2020,11
2021-12-01,Centro,19326685.11,2021,12
2022-10-01,Algarve,3640639.1600000015,2022,10
2023-12-01,Centro,20087181.429999985,2023,12
2023-12-01,Lisboa e Vale do Tejo,63534149.98000028,2023,12
2024-09-01,Alentejo,5421954.740000005,2024,9
2024-10-01,Norte,80029407.23999958,2024,10
2011-03-01,Centro,15249042.969999995,2011,3
2011-06-01,Algarve,3413789.58,2011,6
2011-08-01,Alentejo,2823826.9000000004,2011,8
2012-07-01,Algarve,3088001.23,2012,7
2013-02-01,Algarve,3178720.49,2013,2
2013-09-01,Algarve,2823370.91,2013,9
2013-09-01,Centro,13107715.99,2013,9
2014-01-01,Alentejo,2685929.240000001,2014,1
2014-05-01,Alentejo,2700013.84,2014,5
2014-08-01,Algarve,2849857.2400000007,2014,8
2015-10-01,Lisboa e Vale do Tejo,55871370.95,2015,10
2016-02-01,Centro,17242992.78999999,2016,2
2016-08-01,Algarve,4014491.91,2016,8
2017-04-01,Alentejo,2887868.91,2017,4
2017-04-01,Norte,30318596.529999994,2017,4
2017-05-01,Alentejo,3264597.94,2017,5
2017-06-01,Alentejo,2915571.99,2017,6
2017-09-01,Alentejo,2882375.579999999,2017,9
2018-11-01,Alentejo,3265662.83,2018,11
2019-01-01,Algarve,4422843.3,2019,1
2019-07-01,Alentejo,3345167.88,2019,7
2020-02-01,Lisboa e Vale do Tejo,47760421.5,2020,2
2020-05-01,Lisboa e Vale do Tejo,42651107.6,2020,5
2021-08-01,Lisboa e Vale do Tejo,53604920.09,2021,8
2021-09-01,Centro,22871838.32,2021,9
2022-01-01,Algarve,4592208.139999998,2022,1
2023-02-01,Lisboa e Vale do Tejo,66093459.86999992,2023,2
2023-07-01,Lisboa e Vale do Tejo,72956896.55000012,2023,7
2023-10-01,Centro,28738287.770000026,2023,10
2024-03-01,Algarve,6048062.609999994,2024,3
2011-01-01,Algarve,3480241.41,2011,1
2011-02-01,Lisboa e Vale do Tejo,38689777.32999999,2011,2
2013-01-01,Lisboa e Vale do Tejo,41423750.34,2013,1
2013-07-01,Alentejo,2849299.5599999996,2013,7
2014-03-01,Lisboa e Vale do Tejo,36887664.830000035,2014,3
2014-05-01,Algarve,3076235.3599999985,2014,5
2014-11-01,Lisboa e Vale do Tejo,33166965.159999993,2014,11
2015-01-01,Algarve,3116593.32,2015,1
2015-04-01,Norte,31969947.54,2015,4
2015-10-01,Norte,31568093.84,2015,10
2016-05-01,Centro,17141237.4,2016,5
2016-05-01,Lisboa e Vale do Tejo,52800316.46999999,2016,5
2017-06-01,Norte,34863866.28,2017,6
2018-10-01,Centro,18738310.08,2018,10
2019-05-01,Lisboa e Vale do Tejo,49640622.94,2019,5
2019-06-01,Lisboa e Vale do Tejo,43628814.61,2019,6
2019-07-01,Algarve,4052129.75,2019,7
2019-10-01,Alentejo,3859915.77,2019,10
2019-10-01,Lisboa e Vale do Tejo,51438029.35,2019,10
2019-11-01,Centro,17025303.9,2019,11
2020-10-01,Alentejo,3877761.19,2020,10
2022-06-01,Lisboa e Vale do Tejo,65160866.750000365,2022,6
2023-07-01,Norte,63685138.27999977,2023,7
2024-08-01,Lisboa e Vale do Tejo,82847979.6800006,2024,8
2011-02-01,Alentejo,2705067.0300000003,2011,2
2012-06-01,Norte,24042345.32,2012,6
2012-11-01,Centro,13754338.97,2012,11
2013-07-01,Norte,24941066.91,2013,7
2014-02-01,Alentejo,2536946.6099999985,2014,2
2014-02-01,Algarve,2837748.9299999983,2014,2
2015-03-01,Algarve,3171296.25,2015,3
2015-07-01,Lisboa e Vale do Tejo,58968273.78,2015,7
2015-11-01,Algarve,3534989.64,2015,11
2016-01-01,Centro,16890559.28,2016,1
2016-06-01,Norte,30186051.49000001,2016,6
2016-08-01,Lisboa e Vale do Tejo,51775757.53,2016,8
2016-12-01,Lisboa e Vale do Tejo,48559513.32,2016,12
2017-01-01,Lisboa e Vale do Tejo,51852187.23,2017,1
2018-04-01,Norte,38865123.469999984,2018,4
2018-09-01,Norte,35894100.61,2018,9
2019-03-01,Norte,36459754.16,2019,3
2019-08-01,Centro,17710468.51,2019,8
2019-09-01,Algarve,4034211.33,2019,9
2020-01-01,Lisboa e Vale do Tejo,52902484.58,2020,1
2020-01-01,Norte,45934167.68,2020,1
2020-03-01,Centro,20996635.28,2020,3
2020-06-01,Alentejo,3246375.05,2020,6
2020-12-01,Centro,17344709.41,2020,12
2021-03-01,Centro,21327842.98,2021,3
2021-07-01,Centro,22657167.36,2021,7
2021-09-01,Lisboa e Vale do Tejo,58141961.88,2021,9
2022-01-01,Lisboa e Vale do Tejo,58812918.32000017,2022,1
2022-03-01,Algarve,5334932.979999998,2022,3
2022-03-01,Norte,56578597.300000146,2022,3
2022-04-01,Algarve,4376874.579999997,2022,4
2022-11-01,Lisboa e Vale do Tejo,65705590.12999988,2022,11
2023-02-01,Alentejo,3956266.470000006,2023,2
2023-07-01,Alentejo,4597918.599999997,2023,7
2023-08-01,Alentejo,5007738.580000004,2023,8
2024-01-01,Lisboa e Vale do Tejo,78166364.37000006,2024,1
2024-02-01,Lisboa e Vale do Tejo,73590531.57000054,2024,2
2024-03-01,Lisboa e Vale do Tejo,76778866.62999965,2024,3
2024-12-01,Alentejo,4398480.139999998,2024,12
2011-08-01,Lisboa e Vale do Tejo,39971260.99,2011,8
2012-03-01,Algarve,2945164.75,2012,3
2012-11-01,Algarve,3030918.06,2012,11
2013-09-01,Alentejo,2555214.56,2013,9
2013-12-01,Algarve,2874763.02,2013,12
2014-04-01,Centro,13647513.109999994,2014,4
2014-11-01,Alentejo,2490642.7799999984,2014,11
2014-11-01,Algarve,3062561.350000001,2014,11
2015-10-01,Algarve,91344.5500000004,2015,10
2016-07-01,Norte,29431843.370000005,2016,7
2017-03-01,Lisboa e Vale do Tejo,54477767.41,2017,3
2017-12-01,Lisboa e Vale do Tejo,46910844.53,2017,12
2019-05-01,Algarve,3968422.27,2019,5
2019-11-01,Algarve,2105406.71,2019,11
2020-09-01,Centro,19460790.03,2020,9
2021-02-01,Algarve,4255408.12,2021,2
2021-09-01,Norte,52184172.13,2021,9
2022-07-01,Lisboa e Vale do Tejo,62675224.21999967,2022,7
2023-04-01,Norte,50066736.909999594,2023,4
2024-04-01,Centro,29886579.33,2024,4
2024-06-01,Alentejo,5300376.799999996,2024,6
2024-10-01,Alentejo,6536424.499999998,2024,10
2011-01-01,Alentejo,2774186.44,2011,1
2011-05-01,Centro,14960277.73,2011,5
2011-11-01,Centro,14750586.180000002,2011,11
2012-06-01,Algarve,3204407.9299999997,2012,6
2014-04-01,Lisboa e Vale do Tejo,36617022.36999999,2014,4
2014-06-01,Alentejo,2594740.9199999985,2014,6
2014-07-01,Centro,14131177.31,2014,7
2014-07-01,Lisboa e Vale do Tejo,38097723.639999986,2014,7
2014-07-01,Norte,28626752.37000001,2014,7
2014-09-01,Algarve,3056358.4900000044,2014,9
2015-05-01,Alentejo,3007233.01,2015,5
2015-05-01,Lisboa e Vale do Tejo,50110101.32,2015,5
2015-06-01,Lisboa e Vale do Tejo,54757957.31,2015,6
2015-08-01,Alentejo,2894738.03,2015,8
2015-11-01,Centro,17355125.699999996,2015,11
2016-04-01,Norte,32136192.08,2016,4
2016-07-01,Lisboa e Vale do Tejo,49925859.2,2016,7
2017-04-01,Algarve,3808051.43,2017,4
2019-01-01,Lisboa e Vale do Tejo,50443809.93,2019,1
2019-08-01,Lisboa e Vale do Tejo,47473076.05,2019,8
2019-09-01,Lisboa e Vale do Tejo,46110832.68,2019,9
2020-04-01,Algarve,3728111.03,2020,4
2020-06-01,Lisboa e Vale do Tejo,48736467.48,2020,6
2020-12-01,Lisboa e Vale do Tejo,47203212.83,2020,12
2021-04-01,Centro,21244453.7,2021,4
2022-04-01,Centro,23490283.26999996,2022,4
2022-10-01,Centro,23742530.429999977,2022,10
2022-11-01,Algarve,3147467.9100000015,2022,11
2023-03-01,Norte,62151020.12000008,2023,3
2023-06-01,Centro,26627280.729999907,2023,6
2023-07-01,Centro,27146029.719999947,2023,7
2023-08-01,Lisboa e Vale do Tejo,76641604.40000023,2023,8
2023-09-01,Norte,59791306.61999975,2023,9
2023-10-01,Lisboa e Vale do Tejo,75398009.83999991,2023,10
2023-11-01,Centro,30151687.73000004,2023,11
2024-05-01,Centro,32465597.950000063,2024,5
2024-07-01,Algarve,6991767.209999995,2024,7
2020-08-01,Alentejo,2966572.7,2020,8
2021-05-01,Norte,42066984.87,2021,5
2023-03-01,Centro,27654574.16999999,2023,3
2023-05-01,Algarve,4854191.130000001,2023,5
2023-08-01,Algarve,5174693.030000002,2023,8
2024-09-01,Algarve,5775837.479999995,2024,9
2011-05-01,Algarve,3470740.1799999997,2011,5
2011-09-01,Alentejo,2696257.26,2011,9
2012-01-01,Centro,13925492.209999995,2012,1
2012-03-01,Centro,15107001.65,2012,3
2012-06-01,Alentejo,2576585.41,2012,6
2012-06-01,Centro,13396905.430000002,2012,6
2012-07-01,Alentejo,2818937.0300000003,2012,7
2012-09-01,Algarve,3030415.56,2012,9
2013-11-01,Alentejo,2568156.6100000003,2013,11
2014-01-01,Norte,27998089.00000001,2014,1
2014-02-01,Lisboa e Vale do Tejo,33479677.050000012,2014,2
2014-07-01,Algarve,3141075.330000006,2014,7
2014-12-01,Centro,13234272.59,2014,12
2016-03-01,Alentejo,3325700.55,2016,3
2016-08-01,Centro,17826760.87,2016,8
2017-01-01,Algarve,4337501.98,2017,1
2017-03-01,Algarve,4418994.54,2017,3
2017-08-01,Alentejo,2891697.1399999997,2017,8
2017-12-01,Centro,14803426.36000001,2017,12
2017-12-01,Norte,8927377.089999998,2017,12
2018-02-01,Lisboa e Vale do Tejo,47238018.72,2018,2
2018-06-01,Norte,36258420.49,2018,6
2018-11-01,Algarve,609761.02,2018,11
2018-12-01,Norte,8410719.200000001,2018,12
2019-02-01,Norte,37038925.58,2019,2
2019-04-01,Algarve,4213484.81,2019,4
2019-10-01,Algarve,2037158.7,2019,10
2019-12-01,Norte,17271870.37,2019,12
2020-04-01,Centro,16748256.84,2020,4
2020-07-01,Norte,47359209.24,2020,7
2021-03-01,Alentejo,3863949.43,2021,3
2021-04-01,Alentejo,3606476.76,2021,4
2021-12-01,Norte,13104551.2,2021,12
2022-06-01,Alentejo,4029141.70999999,2022,6
2022-08-01,Alentejo,4261661.500000002,2022,8
2023-05-01,Norte,63480958.58999995,2023,5
2023-06-01,Algarve,4961179.050000001,2023,6
2023-06-01,Norte,58132454.72999999,2023,6
2023-08-01,Norte,62694495.12000026,2023,8
2024-09-01,Centro,34350384.849999934,2024,9
2024-12-01,Centro,22821989.699999996,2024,12
2011-04-01,Lisboa e Vale do Tejo,39670207.77000001,2011,4
2012-12-01,Alentejo,2216212.48,2012,12
2012-12-01,Centro,13007363.369999995,2012,12
2013-03-01,Algarve,3144813.94,2013,3
2014-04-01,Norte,27943621.17000001,2014,4
2014-07-01,Alentejo,2778196.600000002,2014,7
2014-09-01,Lisboa e Vale do Tejo,35927312.89,2014,9
2014-12-01,Algarve,3052806.039999995,2014,12
2015-01-01,Centro,13788606.84000001,2015,1
2015-03-01,Lisboa e Vale do Tejo,42935421.379999995,2015,3
2016-09-01,Algarve,3810198.4,2016,9
2016-11-01,Lisboa e Vale do Tejo,51049713.7,2016,11
2016-12-01,Alentejo,3184057.66,2016,12
2017-04-01,Lisboa e Vale do Tejo,45225218.94,2017,4
2017-07-01,Algarve,3283117.59,2017,7
2017-10-01,Lisboa e Vale do Tejo,50569340.64,2017,10
2018-01-01,Algarve,4597885.11,2018,1
2018-03-01,Alentejo,3155876.8600000013,2018,3
2018-03-01,Norte,37269531.20000001,2018,3
2018-07-01,Lisboa e Vale do Tejo,49416463.50000001,2018,7
2019-03-01,Alentejo,3036979.78,2019,3
2019-11-01,Alentejo,3346038.75,2019,11
2020-04-01,Norte,40250689.46,2020,4
2020-09-01,Alentejo,3325495.79,2020,9
2020-12-01,Algarve,2264286.63,2020,12
2023-03-01,Alentejo,4661390.389999996,2023,3
2011-10-01,Centro,13251299.320000002,2011,10
2011-09-01,Lisboa e Vale do Tejo,39804256.88,2011,9
2013-03-01,Centro,14028973.7,2013,3
2013-06-01,Norte,22553237.45,2013,6
2015-02-01,Centro,13167101.89000001,2015,2
2017-12-01,Algarve,1586497.03,2017,12
2020-05-01,Alentejo,2827419.91,2020,5
2021-04-01,Lisboa e Vale do Tejo,52464232.28,2021,4
2023-11-01,Algarve,4501448.929999999,2023,11
2024-05-01,Alentejo,5653241.9300000165,2024,5
2024-06-01,Algarve,5206600.500000006,2024,6
2024-06-01,Norte,60680722.550000146,2024,6
2024-07-01,Lisboa e Vale do Tejo,86478709.63000073,2024,7
2011-07-01,Algarve,3313197.38,2011,7
2012-05-01,Alentejo,2806247.4099999997,2012,5
2012-05-01,Algarve,3588896.35,2012,5
2013-04-01,Centro,13929707.72,2013,4
2013-08-01,Alentejo,2559895.74,2013,8
2013-08-01,Lisboa e Vale do Tejo,34962710.379999995,2013,8
2015-02-01,Lisboa e Vale do Tejo,36157766.150000006,2015,2
2015-06-01,Alentejo,3637389.07,2015,6
2015-09-01,Algarve,4562068.57,2015,9
2015-12-01,Alentejo,2814658.8599999994,2015,12
2016-06-01,Centro,17541496.69,2016,6
2016-10-01,Alentejo,3419934.3,2016,10
2016-11-01,Norte,34834715.2,2016,11
2018-05-01,Lisboa e Vale do Tejo,47577542.39999999,2018,5
2018-08-01,Alentejo,3310296.940000001,2018,8
2018-11-01,Lisboa e Vale do Tejo,46053602.11,2018,11
2019-01-01,Alentejo,3283139.22,2019,1
2019-03-01,Algarve,4278737.37,2019,3
2019-03-01,Lisboa e Vale do Tejo,45669304.82,2019,3
2019-06-01,Centro,17493968.72,2019,6
2019-07-01,Norte,36507272.64,2019,7
2019-11-01,Norte,36337846.56,2019,11
2020-08-01,Algarve,2651616.9,2020,8
2021-01-01,Centro,19304615.54,2021,1
2021-05-01,Lisboa e Vale do Tejo,56775202.56,2021,5
2021-12-01,Alentejo,4012024.15,2021,12
2022-09-01,Algarve,5457850.509999997,2022,9
2023-04-01,Algarve,4709137.070000002,2023,4
2023-08-01,Centro,28541947.569999974,2023,8
2023-10-01,Alentejo,5130781.950000001,2023,10
2023-12-01,Alentejo,4650375.530000001,2023,12
2024-02-01,Norte,59566075.109999865,2024,2
2011-04-01,Algarve,2998329.86,2011,4
2012-04-01,Lisboa e Vale do Tejo,40209737.22,2012,4
2013-08-01,Algarve,2917441.68,2013,8
2014-12-01,Lisboa e Vale do Tejo,35089324.66000003,2014,12
2016-01-01,Lisboa e Vale do Tejo,51293335.73999998,2016,1
2017-02-01,Alentejo,2677726.04,2017,2
2018-02-01,Centro,17638697.79,2018,2
2019-09-01,Norte,39490999.64,2019,9
