periodo,regiao,instituicao,localizacao_geografica,medicos_s_internos,medicos_internos,enfermeiros,tss,farmaceuticos,farmaceuticos_residentes,tdt,at,ao,tas,ao0,ts,informaticos,outros,total_geral,ano,mes
2019-02-01,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",109.0,93.0,390.0,10.0,,,100.0,160.0,309.0,,,61.0,10.0,9.0,1251.0,2019,2
2019-02-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",555.0,438.0,1363.0,41.0,,,327.0,393.0,897.0,,,68.0,12.0,32.0,4126.0,2019,2
2019-02-01,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",343.0,221.0,902.0,19.0,,,169.0,223.0,531.0,,,26.0,7.0,22.0,2463.0,2019,2
2019-02-01,Centro,"Instituto Português Oncologia Francisco Gentil - Coimbra, E.P.E.","40.2162514, -8.4103814",150.0,49.0,268.0,28.0,,,95.0,118.0,258.0,,,28.0,5.0,12.0,1011.0,2019,2
2019-02-01,Serviços Centrais,"Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.","38.7643827, -9.1663422",7.0,,4.0,92.0,,,105.0,89.0,64.0,,,120.0,2.0,54.0,537.0,2019,2
2019-02-01,Serviços Centrais,"Instituto Português do Sangue e da Transplantação, I.P.","38.7567758, -9.1505021",30.0,,68.0,22.0,,,119.0,78.0,85.0,,,42.0,9.0,9.0,462.0,2019,2
2019-02-01,Serviços Centrais,"Serviços Partilhados do Ministério da Saúde, E.P.E.","38.739767, -9.1489431",,,,,,,,69.0,7.0,,,133.0,17.0,45.0,271.0,2019,2
2019-02-01,Centro,"Unidade Local de Saúde Guarda, E.P.E.","40.5309916, -7.2734793",207.0,102.0,719.0,30.0,,,136.0,222.0,534.0,,,50.0,12.0,14.0,2026.0,2019,2
2019-02-01,Alentejo,"Unidade Local de Saúde Norte Alentejano, E.P.E.","39.3003425, -7.4263845",156.0,59.0,560.0,6.0,,,115.0,243.0,365.0,,,42.0,9.0,26.0,1581.0,2019,2
2019-02-01,Serviços Centrais,Inspeção-Geral das Atividades em Saúde,"41.1764649, -8.6649823",,,,,,,,15.0,4.0,,,8.0,2.0,56.0,85.0,2019,2
2019-03-01,Serviços Centrais,Ação Governativa,"38.7362218, -9.1463126",,,,,,,,6.0,7.0,,,,1.0,24.0,38.0,2019,3
2019-03-01,Norte,"Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",316.0,195.0,1006.0,27.0,,,178.0,221.0,626.0,,,42.0,18.0,12.0,2641.0,2019,3
2019-03-01,Norte,"Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.","41.1094138, -8.5972617",554.0,355.0,1222.0,40.0,,,234.0,292.0,894.0,,,60.0,16.0,24.0,3691.0,2019,3
2019-03-01,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",112.0,92.0,390.0,10.0,,,99.0,160.0,307.0,,,61.0,10.0,9.0,1250.0,2019,3
2019-03-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",256.0,164.0,754.0,16.0,,,164.0,211.0,622.0,,,42.0,7.0,25.0,2261.0,2019,3
2019-03-01,Norte,"Centro Hospitalar do Médio Ave, E.P.E.","41.3423984, -8.4802503",169.0,64.0,389.0,12.0,,,81.0,108.0,258.0,,,16.0,4.0,14.0,1115.0,2019,3
2019-03-01,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",724.0,490.0,1452.0,62.0,,,297.0,400.0,906.0,,,93.0,18.0,32.0,4474.0,2019,3
2019-03-01,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",342.0,220.0,900.0,19.0,,,169.0,220.0,531.0,,,27.0,7.0,22.0,2457.0,2019,3
2019-03-01,Centro,Hospital Arcebispo João Crisóstomo - Cantanhede,"40.3470015, -8.5933462",6.0,,39.0,2.0,,,9.0,21.0,29.0,,,5.0,1.0,3.0,115.0,2019,3
2019-03-01,Norte,"Hospital de Magalhães Lemos, E.P.E.","41.1764649, -8.6649823",36.0,24.0,141.0,13.0,,,9.0,28.0,123.0,,,16.0,3.0,8.0,401.0,2019,3
2019-03-01,Serviços Centrais,Secretaria Geral do Ministério da Saúde,"38.7362218, -9.1463126",,,,,,,,12.0,16.0,,,22.0,2.0,7.0,59.0,2019,3
2019-03-01,Centro,"Unidade Local de Saúde Guarda, E.P.E.","40.5309916, -7.2734793",210.0,100.0,718.0,30.0,,,136.0,222.0,534.0,,,50.0,12.0,14.0,2026.0,2019,3
2019-03-01,Alentejo,"Unidade Local de Saúde Baixo Alentejo, E.P.E.","38.014123, -7.8721227",150.0,69.0,580.0,29.0,,,128.0,247.0,395.0,,,45.0,17.0,18.0,1678.0,2019,3
2019-03-01,Norte,"Unidade Local de Saúde Nordeste, E.P.E.","41.8056532, -6.7888197",202.0,108.0,659.0,21.0,,,128.0,267.0,418.0,,,54.0,14.0,9.0,1880.0,2019,3
2019-04-01,Serviços Centrais,"Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.","38.7582532, -9.1502867",0.0,0.0,0.0,9.0,,,2.0,76.0,6.0,,,226.0,2.0,32.0,353.0,2019,4
2019-04-01,Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, E.P.E.","41.3828711, -8.7589945",103.0,40.0,261.0,9.0,,,35.0,74.0,149.0,,,27.0,4.0,8.0,710.0,2019,4
2019-04-01,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",113.0,92.0,396.0,10.0,,,99.0,160.0,306.0,,,62.0,10.0,9.0,1257.0,2019,4
