periodo,ars,aces,localizacao_geografica,utentes_inscritos_csp,total_utentes_com_mdf_atribuido,total_utentes_com_mdf_atribuido0,total_utentes_sem_mdf_atribuido,total_utentes_sem_mdf_atribuido0,total_utentes_sem_mdf_atribuido_por_opcao,total_utentes_sem_mdf_atribuido_por_opcao0,taxa_de_utilizacao_consultas_medicas_1_ano_todos_os_utentes,taxa_de_utilizacao_consultas_medicas_1_ano_nos_utentes_sem_mdf,ano,mes
2021-07-01,Norte,ACES Douro Sul,"41.0953745, -7.8123805",68910.0,65736.0,95.39,3133.0,4.55,41.0,0.06,78.8797,63.6106,2021,7
2021-07-01,Norte,ACES Gerês / Cabreira,"41.6298661, -8.3596897",108184.0,106403.0,98.35,1751.0,1.62,30.0,0.03,76.8531,71.3326,2021,7
2021-07-01,Norte,ACES Maia / Valongo,"41.2333945, -8.6187474",221420.0,215479.0,97.32,5879.0,2.66,62.0,0.03,70.8811,52.7352,2021,7
2021-07-01,Norte,ACES Nordeste,"41.8069684, -6.7587977",131870.0,125583.0,95.23,5367.0,4.07,920.0,0.7,74.261,51.7417,2021,7
2021-07-01,Norte,ACES Santo Tirso / Trofa,"41.3469246, -8.4822648",115257.0,112050.0,97.22,3175.0,2.75,32.0,0.03,75.4271,47.1927,2021,7
2021-08-01,Alentejo,ACES São Mamede,"39.2967086, -7.4284755",114754.0,100671.0,87.73,13904.0,12.12,179.0,0.16,70.3546,65.0664,2021,8
2021-08-01,Centro,ACES Guarda,"40.5353285, -7.2724426",150703.0,134167.0,89.03,15326.0,10.17,1210.0,0.8,70.8179,51.0497,2021,8
2021-08-01,Lisboa e Vale do Tejo,ACES Lezíria,"39.2371689, -8.6908895",198986.0,178405.0,89.66,18656.0,9.38,1925.0,0.97,73.0021,51.9243,2021,8
2021-08-01,Lisboa e Vale do Tejo,ACES Lisboa Ocidental e Oeiras,"38.6914388, -9.3184304",251602.0,209787.0,83.38,41381.0,16.45,434.0,0.17,59.2326,41.3366,2021,8
2021-08-01,Norte,ACES Aveiro Norte,"40.8472225, -8.4656674",118952.0,118871.0,99.93,37.0,0.03,44.0,0.04,75.6634,31.0811,2021,8
2021-08-01,Norte,ACES Barcelos / Esposende,"41.5317419, -8.6178922",160157.0,154989.0,96.77,5072.0,3.17,96.0,0.06,74.592,71.2212,2021,8
2021-08-01,Norte,ACES Gondomar,"41.1738444, -8.5612238",168049.0,157060.0,93.46,10916.0,6.5,73.0,0.04,74.2871,68.6596,2021,8
2021-08-01,Norte,ACES Porto Ocidental,"41.1741353, -8.6691662",178903.0,166251.0,92.93,12380.0,6.92,272.0,0.15,66.3167,50.9649,2021,8
2021-08-01,Norte,ACES Porto Oriental,"41.1694498, -8.6126428",118908.0,110638.0,93.05,8211.0,6.91,59.0,0.05,69.7106,57.0927,2021,8
2021-08-01,Norte,ACES Vale do Sousa Norte,"41.2793583, -8.2787457",160453.0,153398.0,95.6,7046.0,4.39,9.0,0.01,78.6577,72.3911,2021,8
2021-08-01,Norte,ACES Vale do Sousa Sul,"41.1548155, -8.2163769",173860.0,169585.0,97.54,4262.0,2.45,13.0,0.01,75.824,71.3099,2021,8
2021-09-01,Centro,ACES Baixo Mondego,"40.2150023, -8.4071805",390855.0,371255.0,94.99,17358.0,4.44,2242.0,0.57,70.2672,41.8644,2021,9
2021-09-01,Centro,ACES Cova da Beira,"40.2677741, -7.4995083",87087.0,83417.0,95.79,3557.0,4.08,113.0,0.13,72.0139,61.1172,2021,9
2021-09-01,Centro,ACES Pinhal Interior Norte,"40.1151262, -8.2473136",131260.0,123098.0,93.78,7384.0,5.63,778.0,0.59,73.49,55.3786,2021,9
2021-09-01,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",174037.0,127513.0,73.27,46136.0,26.51,388.0,0.22,53.8466,37.7469,2021,9
2021-09-01,Lisboa e Vale do Tejo,ACES Estuário do Tejo,"38.9528113, -8.9911154",236328.0,174016.0,73.63,61657.0,26.09,655.0,0.28,61.8709,41.5051,2021,9
2021-09-01,Lisboa e Vale do Tejo,ACES Lisboa Ocidental e Oeiras,"38.6914388, -9.3184304",251931.0,215787.0,85.65,35707.0,14.17,437.0,0.17,59.1934,40.9287,2021,9
2021-09-01,Norte,ACES Alto Minho,"41.7056054, -8.8252713",248277.0,247628.0,99.74,486.0,0.2,163.0,0.07,76.3037,35.1852,2021,9
2021-09-01,Norte,ACES Alto Tâmega e Barroso,"41.741781, -7.4731648",90495.0,85618.0,94.61,4665.0,5.15,212.0,0.23,72.8361,67.1171,2021,9
2021-09-01,Norte,ACES Aveiro Norte,"40.8472225, -8.4656674",118972.0,118907.0,99.95,22.0,0.02,43.0,0.04,75.9532,23.0769,2021,9
2021-09-01,Norte,ACES Baixo Tâmega,"41.2719719, -8.0791631",164752.0,163911.0,99.49,572.0,0.35,269.0,0.16,75.5759,19.2857,2021,9
2021-09-01,Norte,ACES Espinho / Gaia,"41.0022421, -8.642018",184498.0,175793.0,95.28,8638.0,4.68,67.0,0.04,72.9414,61.1443,2021,9
2021-09-01,Norte,ACES Feira e Arouca,"40.9263169, -8.5478813",154668.0,152071.0,98.32,2543.0,1.64,54.0,0.03,75.7558,73.074,2021,9
2021-09-01,Norte,ACES Nordeste,"41.8069684, -6.7587977",132170.0,126863.0,95.98,4396.0,3.33,911.0,0.69,74.7719,46.7684,2021,9
2021-09-01,Norte,ACES Santo Tirso / Trofa,"41.3469246, -8.4822648",115396.0,113504.0,98.36,1852.0,1.6,40.0,0.03,76.2418,27.8879,2021,9
2021-09-01,Norte,ACES Vale do Sousa Sul,"41.1548155, -8.2163769",174113.0,172227.0,98.92,1873.0,1.08,13.0,0.01,76.1318,70.6631,2021,9
2021-10-01,Alentejo,ACES Baixo Alentejo,"38.0153039, -7.8627308",124488.0,117833.0,94.65,6219.0,5.0,436.0,0.35,71.773,54.876,2021,10
2021-10-01,Centro,ACES Baixo Vouga,"40.6405055, -8.6537539",397416.0,375704.0,94.54,19381.0,4.88,2331.0,0.59,70.349,43.0591,2021,10
2021-10-01,Centro,ACES Beira Interior Sul,"39.8211367, -7.5036651",74277.0,64615.0,86.99,9296.0,12.52,366.0,0.49,69.9247,47.1227,2021,10
2021-10-01,Centro,ACES Pinhal Interior Norte,"40.1151262, -8.2473136",131349.0,123105.0,93.72,7470.0,5.69,774.0,0.59,73.693,55.2402,2021,10
2021-10-01,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",223616.0,186294.0,83.31,33978.0,15.19,3344.0,1.5,53.993,20.5016,2021,10
2021-10-01,Lisboa e Vale do Tejo,ACES Estuário do Tejo,"38.9528113, -8.9911154",236550.0,174310.0,73.69,61598.0,26.04,642.0,0.27,61.7358,42.1867,2021,10
2021-10-01,Lisboa e Vale do Tejo,ACES Oeste Norte,"39.410844, -9.1396215",180330.0,144992.0,80.4,35117.0,19.47,221.0,0.12,70.6527,54.127,2021,10
2021-10-01,Lisboa e Vale do Tejo,ACES Sintra,"38.7519209, -9.2753636",367915.0,261675.0,71.12,105242.0,28.6,998.0,0.27,55.3188,43.2238,2021,10
2021-10-01,Norte,ACES Alto Ave,"41.4417064, -8.1722408",273185.0,263177.0,96.34,9934.0,3.64,74.0,0.03,76.957,67.5959,2021,10
2021-10-01,Norte,ACES Aveiro Norte,"40.8472225, -8.4656674",119000.0,118943.0,99.95,16.0,0.01,41.0,0.03,75.9202,21.0526,2021,10
2021-10-01,Norte,ACES Baixo Tâmega,"41.2719719, -8.0791631",164281.0,163497.0,99.52,533.0,0.32,251.0,0.15,75.7306,19.0051,2021,10
2021-10-01,Norte,ACES Barcelos / Esposende,"41.5317419, -8.6178922",160172.0,156735.0,97.85,3378.0,2.11,59.0,0.04,75.0156,68.0826,2021,10
2021-10-01,Norte,ACES Gondomar,"41.1738444, -8.5612238",167869.0,162942.0,97.06,4855.0,2.89,72.0,0.04,74.1823,62.2691,2021,10
2021-10-01,Norte,ACES Nordeste,"41.8069684, -6.7587977",132224.0,126850.0,95.94,4470.0,3.38,904.0,0.68,74.6597,47.0785,2021,10
2021-11-01,Centro,ACES Baixo Mondego,"40.2150023, -8.4071805",391103.0,368001.0,94.09,21037.0,5.38,2065.0,0.53,70.6458,46.6837,2021,11
2021-11-01,Centro,ACES Dão Lafões,"40.6565861, -7.9124712",274332.0,264557.0,96.44,9393.0,3.42,382.0,0.14,73.469,35.4476,2021,11
2021-11-01,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",175127.0,125795.0,71.83,48945.0,27.95,387.0,0.22,54.5279,39.7377,2021,11
2021-11-01,Lisboa e Vale do Tejo,ACES Arco Ribeirinho,"38.6672076, -9.0543329",226697.0,167095.0,73.71,59379.0,26.19,223.0,0.1,61.2064,44.9998,2021,11
2021-11-01,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",224353.0,184700.0,82.33,36300.0,16.18,3353.0,1.49,53.9169,21.687,2021,11
2021-11-01,Lisboa e Vale do Tejo,ACES Lisboa Ocidental e Oeiras,"38.6914388, -9.3184304",251987.0,215542.0,85.54,36020.0,14.29,425.0,0.17,58.941,39.8139,2021,11
2021-11-01,Norte,ACES Ave / Famalicão,"41.3835805, -8.4157518",124815.0,124456.0,99.71,292.0,0.23,67.0,0.05,76.744,3.62117,2021,11
2021-11-01,Norte,ACES Braga,"41.5518714, -8.4126362",204038.0,198379.0,97.23,5659.0,2.77,0.0,0.0,74.369,51.1587,2021,11
2021-11-01,Norte,ACES Feira e Arouca,"40.9263169, -8.5478813",154755.0,151285.0,97.76,1911.0,1.23,1559.0,1.01,75.3475,72.219,2021,11
2021-12-01,Algarve,ACES Algarve Central,"37.0274264, -7.9395984",275231.0,244652.0,88.89,30212.0,10.98,367.0,0.13,56.9929,24.9616,2021,12
2021-12-01,Centro,ACES Pinhal Interior Norte,"40.1151262, -8.2473136",131490.0,123259.0,93.74,7448.0,5.66,783.0,0.6,74.1524,54.4405,2021,12
2021-12-01,Lisboa e Vale do Tejo,ACES Amadora,"38.7573081, -9.23429",175906.0,127837.0,72.67,47686.0,27.11,383.0,0.22,55.1522,40.0466,2021,12
2021-12-01,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",225270.0,183305.0,81.37,38603.0,17.14,3362.0,1.49,54.2984,23.2057,2021,12
2021-12-01,Lisboa e Vale do Tejo,ACES Lisboa Central,"38.7306317, -9.1510414",304682.0,247231.0,81.14,56391.0,18.51,1060.0,0.35,51.9396,23.8812,2021,12
