tempo,regiao,instituicao,localizacao_geografica,no_episodios_cirurgicos_ambulat_com_procedimentos_ambulatorizaveis,no_episodios_cirurgicos_ambulat_e_intern_com_proced_ambulatorizaveis,ano,mes
2017-03-01,Norte,"Hospital de Braga, PPP","41.56785, -8.398982",1654.0,1919.0,2017,3
2017-03-01,Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",348.0,573.0,2017,3
2017-03-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",1930.0,2161.0,2017,3
2017-04-01,Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",3224.0,4194.0,2017,4
2017-04-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",453.0,576.0,2017,4
2017-04-01,Lisboa e Vale do Tejo,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",470.0,614.0,2017,4
2017-04-01,Lisboa e Vale do Tejo,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0.0,0.0,2017,4
2017-04-01,Lisboa e Vale do Tejo,"Hospital de Loures, PPP","38.821455, -9.176296",1359.0,1631.0,2017,4
2017-04-01,Lisboa e Vale do Tejo,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",1026.0,1252.0,2017,4
2017-04-01,Lisboa e Vale do Tejo,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",1580.0,2132.0,2017,4
2017-04-01,Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",2262.0,2974.0,2017,4
2017-04-01,Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",2016.0,2470.0,2017,4
2017-04-01,Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",434.0,744.0,2017,4
2017-05-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",672.0,784.0,2017,5
2017-05-01,Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",4032.0,5202.0,2017,5
2017-05-01,Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",2269.0,2427.0,2017,5
2017-05-01,Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0.0,0.0,2017,5
2017-05-01,Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",1003.0,1188.0,2017,5
2017-05-01,Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",344.0,366.0,2017,5
2017-05-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",578.0,719.0,2017,5
2017-05-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",1333.0,1629.0,2017,5
2017-05-01,Lisboa e Vale do Tejo,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0.0,0.0,2017,5
2017-05-01,Lisboa e Vale do Tejo,"Hospital de Cascais, PPP","38.729006, -9.418267",1094.0,1319.0,2017,5
2017-05-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",1800.0,2034.0,2017,5
2017-05-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",2053.0,2388.0,2017,5
2017-06-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",808.0,935.0,2017,6
2017-06-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",736.0,929.0,2017,6
2017-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",2742.0,3412.0,2017,6
2017-06-01,Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",881.0,1154.0,2017,6
2017-06-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",897.0,1097.0,2017,6
2017-07-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",939.0,1087.0,2017,7
2017-07-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",665.0,935.0,2017,7
2017-07-01,Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0.0,0.0,2017,7
2017-07-01,Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",56.0,266.0,2017,7
2017-07-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",755.0,945.0,2017,7
2017-07-01,Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",692.0,936.0,2017,7
2017-07-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",5379.0,6155.0,2017,7
2017-07-01,Lisboa e Vale do Tejo,"Hospital de Loures, PPP","38.821455, -9.176296",2261.0,2735.0,2017,7
2017-07-01,Lisboa e Vale do Tejo,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",2612.0,3456.0,2017,7
2017-07-01,Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",4352.0,5469.0,2017,7
2017-07-01,Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",886.0,1256.0,2017,7
2017-07-01,Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",2245.0,2725.0,2017,7
2017-07-01,Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0.0,0.0,2017,7
2017-07-01,Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",742.0,1285.0,2017,7
2017-07-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",1051.0,1297.0,2017,7
2017-08-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",762.0,1044.0,2017,8
2017-08-01,Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",5711.0,7392.0,2017,8
2017-08-01,Lisboa e Vale do Tejo,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1053.0,1493.0,2017,8
2017-08-01,Lisboa e Vale do Tejo,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",2153.0,2567.0,2017,8
2017-08-01,Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",4591.0,5759.0,2017,8
2017-08-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",2978.0,3498.0,2017,8
2017-09-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1466.0,2049.0,2017,9
2017-09-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",1067.0,1334.0,2017,9
2017-09-01,Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",1765.0,2235.0,2017,9
2017-09-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",849.0,1149.0,2017,9
2017-09-01,Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",6333.0,8174.0,2017,9
2017-09-01,Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",3652.0,3913.0,2017,9
2017-09-01,Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0.0,0.0,2017,9
2017-09-01,Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",1608.0,1955.0,2017,9
2017-09-01,Lisboa e Vale do Tejo,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",1164.0,1674.0,2017,9
2017-09-01,Lisboa e Vale do Tejo,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",1060.0,1385.0,2017,9
2017-09-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",3681.0,4589.0,2017,9
2017-09-01,Lisboa e Vale do Tejo,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",3226.0,4298.0,2017,9
2017-09-01,Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1810.0,2164.0,2017,9
2017-09-01,Norte,"Centro Hospitalar Vila Nova de Gaia/Espinho, EPE","41.1094138, -8.5972617",4833.0,6209.0,2017,9
2017-09-01,Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",1350.0,1727.0,2017,9
2017-09-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",1284.0,1593.0,2017,9
2017-10-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",1319.0,1623.0,2017,10
2017-10-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",979.0,1232.0,2017,10
2017-10-01,Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",838.0,1178.0,2017,10
2017-10-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",2466.0,2992.0,2017,10
2017-10-01,Lisboa e Vale do Tejo,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",2594.0,3111.0,2017,10
2017-10-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",4430.0,4967.0,2017,10
2017-11-01,Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",3730.0,4633.0,2017,11
2017-11-01,Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",2981.0,3597.0,2017,11
2017-11-01,Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",8002.0,10267.0,2017,11
2017-11-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",7629.0,8842.0,2017,11
2017-11-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",2908.0,3765.0,2017,11
2017-11-01,Lisboa e Vale do Tejo,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",2260.0,2601.0,2017,11
2017-11-01,Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",2320.0,2774.0,2017,11
2017-11-01,Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",1127.0,1977.0,2017,11
2017-11-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",5767.0,6603.0,2017,11
2017-12-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1974.0,2730.0,2017,12
2017-12-01,Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",2072.0,2535.0,2017,12
2017-12-01,Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",787.0,830.0,2017,12
2017-12-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",1147.0,1459.0,2017,12
2017-12-01,Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",1047.0,1472.0,2017,12
2017-12-01,Lisboa e Vale do Tejo,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",1443.0,1872.0,2017,12
2017-12-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",4737.0,5863.0,2017,12
2017-12-01,Lisboa e Vale do Tejo,"Hospital de Loures, PPP","38.821455, -9.176296",3866.0,4624.0,2017,12
2017-12-01,Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",5376.0,6654.0,2017,12
2017-12-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",6156.0,7060.0,2017,12
2017-12-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",2021.0,2449.0,2017,12
2018-01-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",188.0,255.0,2018,1
2018-01-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",90.0,140.0,2018,1
2018-01-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",111.0,136.0,2018,1
2018-01-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",144.0,162.0,2018,1
2018-01-01,Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",210.0,254.0,2018,1
2018-01-01,Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",190.0,226.0,2018,1
2018-01-01,Norte,"Centro Hospitalar Entre Douro e Vouga, EPE","40.9293884, -8.5458794",492.0,541.0,2018,1
2018-01-01,Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",521.0,588.0,2018,1
2018-01-01,Norte,"Hospital Santa Maria Maior, EPE","41.5324234, -8.6171561",177.0,216.0,2018,1
2018-01-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",374.0,420.0,2018,1
2018-01-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",372.0,443.0,2018,1
2018-02-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",267.0,313.0,2018,2
2018-02-01,Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",987.0,1142.0,2018,2
2018-02-01,Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0.0,0.0,2018,2
2018-02-01,Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",92.0,95.0,2018,2
2018-02-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",617.0,789.0,2018,2
2018-02-01,Lisboa e Vale do Tejo,"Hospital de Loures, PPP","38.821455, -9.176296",729.0,862.0,2018,2
2018-02-01,Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",1400.0,1747.0,2018,2
2018-02-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",826.0,983.0,2018,2
2018-03-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",402.0,479.0,2018,3
2018-03-01,Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",536.0,664.0,2018,3
2018-03-01,Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",1161.0,1352.0,2018,3
2018-03-01,Centro,"Centro Hospitalar Tondela-Viseu, EPE","40.516364, -8.0827433",1112.0,1209.0,2018,3
2018-03-01,Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",2.0,97.0,2018,3
2018-03-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",966.0,1126.0,2018,3
2018-03-01,Lisboa e Vale do Tejo,Instituto Gama Pinto,"38.7218793, -9.144249",718.0,718.0,2018,3
2018-03-01,Norte,"Centro Hospitalar Tâmega e Sousa, EPE","41.2494561, -8.264901",1498.0,1679.0,2018,3
2018-04-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",438.0,598.0,2018,4
2018-04-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",505.0,618.0,2018,4
2018-04-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",421.0,596.0,2018,4
2018-04-01,Centro,"Centro Hospitalar do Baixo Vouga, EPE","40.6362453, -8.6543716",1864.0,2173.0,2018,4
2018-04-01,Centro,Centro Medicina de Reabilitação da Região Centro Rovisco Pais,"40.297919, -8.7707806",0.0,0.0,2018,4
2018-04-01,Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",4.0,131.0,2018,4
2018-04-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",995.0,1168.0,2018,4
2018-04-01,Lisboa e Vale do Tejo,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",0.0,0.0,2018,4
2018-04-01,Lisboa e Vale do Tejo,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",1164.0,1363.0,2018,4
2018-04-01,Norte,"Centro Hospitalar do Médio Ave, EPE","41.3423984, -8.4802503",1030.0,1223.0,2018,4
2018-04-01,Norte,"Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE","41.3828711, -8.7589945",584.0,740.0,2018,4
2018-04-01,Norte,"Centro Hospitalar Trás-os-Montes e Alto Douro, EPE","41.3031784, -7.7515252",1241.0,1476.0,2018,4
2018-04-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",1278.0,1504.0,2018,4
2018-04-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",1797.0,2137.0,2018,4
2018-04-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",675.0,829.0,2018,4
2018-05-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",636.0,773.0,2018,5
2018-05-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",529.0,756.0,2018,5
2018-05-01,Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",143.0,143.0,2018,5
2018-05-01,Centro,"Unidade Local de Saúde da Guarda, EPE","40.5309916, -7.2734793",474.0,595.0,2018,5
2018-05-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",1557.0,1968.0,2018,5
2018-05-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Setúbal, EPE","38.5283754, -8.8818638",1260.0,1474.0,2018,5
2018-05-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",2029.0,2456.0,2018,5
2018-05-01,Lisboa e Vale do Tejo,"Hospital Professor Doutor Fernando Fonseca, EPE","38.7422257, -9.2264834",2177.0,2761.0,2018,5
2018-05-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",1640.0,1877.0,2018,5
2018-05-01,Norte,"Centro Hospitalar Universitário do Porto, EPE","41.1472498, -8.6172617",3420.0,4267.0,2018,5
2018-05-01,Norte,"Unidade Local de Saúde do Alto Minho, EPE","41.7056054, -8.8252713",2216.0,2632.0,2018,5
2018-06-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1141.0,1506.0,2018,6
2018-06-01,Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",1097.0,1362.0,2018,6
2018-06-01,Centro,"Centro Hospitalar Universitário Cova da Beira, EPE","40.2804158, -7.4922407",632.0,894.0,2018,6
2018-06-01,Centro,"Instituto Português Oncologia de Coimbra, EPE","40.2162514, -8.4103814",10.0,199.0,2018,6
2018-06-01,Centro,"Unidade Local de Saúde de Castelo Branco, EPE","39.8212263, -7.4981271",428.0,645.0,2018,6
2018-06-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário Lisboa Central, EPE","38.7166948, -9.1371248",3474.0,4111.0,2018,6
2018-06-01,Lisboa e Vale do Tejo,Centro Hospitalar do Oeste,"39.4054629, -9.1258493",1672.0,2220.0,2018,6
2018-06-01,Lisboa e Vale do Tejo,Instituto Gama Pinto,"38.7218793, -9.144249",1821.0,1821.0,2018,6
2018-07-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1391.0,1824.0,2018,7
2018-07-01,Centro,"Centro Hospitalar de Leiria, EPE","39.7414812, -8.7982706",2674.0,3045.0,2018,7
2018-07-01,Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",5350.0,6682.0,2018,7
2018-07-01,Lisboa e Vale do Tejo,"Centro Hospitalar Barreiro/Montijo, EPE","38.6554005, -9.0592392",940.0,1303.0,2018,7
2018-07-01,Lisboa e Vale do Tejo,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",2123.0,2475.0,2018,7
2018-07-01,Lisboa e Vale do Tejo,"Hospital Distrital de Santarém, EPE","39.2410946, -8.6937515",1265.0,1536.0,2018,7
2018-07-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",2326.0,2628.0,2018,7
2018-07-01,Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0.0,0.0,2018,7
2018-07-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",1267.0,1555.0,2018,7
2018-08-01,Centro,Hospital Dr. Francisco Zagalo,"40.8571967, -8.6318023",347.0,377.0,2018,8
2018-08-01,Lisboa e Vale do Tejo,"Centro Hospitalar Universitário de Lisboa Norte, EPE","38.7500861, -9.1616116",3001.0,3621.0,2018,8
2018-08-01,Lisboa e Vale do Tejo,"Centro Hospitalar Médio Tejo, EPE","39.478072, -8.5404429",2141.0,2536.0,2018,8
2018-08-01,Lisboa e Vale do Tejo,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",2423.0,2824.0,2018,8
2018-08-01,Norte,"Centro Hospitalar Universitário de São João, EPE","41.1831056, -8.6010558",4719.0,5899.0,2018,8
2018-08-01,Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0.0,0.0,2018,8
2018-08-01,Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",908.0,1439.0,2018,8
2018-08-01,Norte,"Unidade Local de Saúde de Matosinhos, EPE","41.1794456, -8.6745115",2673.0,3087.0,2018,8
2018-09-01,Alentejo,"Hospital Espírito Santo de Évora, EPE","38.5684861, -7.9032848",1839.0,2416.0,2018,9
2018-09-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, EPE","39.3003425, -7.4263845",1085.0,1319.0,2018,9
2018-09-01,Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",1601.0,1964.0,2018,9
2018-09-01,Lisboa e Vale do Tejo,"Hospital de Vila Franca de Xira, PPP","38.977235, -8.984506",2695.0,3155.0,2018,9
2018-09-01,Lisboa e Vale do Tejo,"Hospital Garcia de Orta, EPE","38.6658713, -9.1822554",2874.0,3230.0,2018,9
2018-09-01,Norte,"Hospital da Senhora da Oliveira, Guimarães, EPE","41.4387173, -8.3086907",2122.0,2667.0,2018,9
2018-09-01,Norte,"Hospital de Magalhães Lemos, EPE","41.1764649, -8.6649823",0.0,0.0,2018,9
2018-09-01,Norte,"Instituto Português Oncologia do Porto, EPE","41.1785642, -8.6062881",1062.0,1646.0,2018,9
2018-09-01,Norte,"Unidade Local de Saúde do Nordeste, EPE","41.8056532, -6.7888197",1772.0,2115.0,2018,9
2018-10-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, EPE","38.014123, -7.8721227",1235.0,1596.0,2018,10
2018-10-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, EPE","38.0162314, -8.6956768",964.0,1102.0,2018,10
2018-10-01,Algarve,"Centro Hospitalar Universitário do Algarve, EPE","37.0238973, -7.9281554",1765.0,2193.0,2018,10
2018-10-01,Centro,"Centro Hospitalar e Universitário de Coimbra, EPE","40.2191523, -8.4098211",7037.0,8840.0,2018,10
2018-10-01,Centro,Hospital Arcebispo João Crisóstomo,"40.3470015, -8.5933462",258.0,258.0,2018,10
2018-10-01,Centro,"Hospital Distrital da Figueira da Foz, EPE","40.117897, -8.8586755",1753.0,2005.0,2018,10
2018-10-01,Lisboa e Vale do Tejo,"Centro Hospitalar de Lisboa Ocidental, EPE","38.708454, -9.216985",2923.0,3688.0,2018,10
2018-10-01,Norte,Centro Hospitalar Universitári,,,,2018,10
