tempo,regiao,entidade,localizacao_geografica,taxa_de_utilizacao_global_de_consultas_medicas_1_ano,no_utentes_pelo_menos_1_consulta_medicas_presencial_ou_nao_presencial_1_ano,taxa_de_utilizacao_de_consultas_medicas_3_anos,no_utentes_com_pelo_menos_1_consulta_medica_em_3_anos,ano,mes
2016-07-01,Norte,ACES Alto Trás-os-Montes - Alto Tâmega e Barroso,"41.741781, -7.4731648",64.52103,59871,87.48613,81181,2016,7
2016-07-01,Norte,ACES Entre Douro e Vouga I - Feira e Arouca,"40.9263169, -8.5478813",63.54658,98766,87.47483,135956,2016,7
2016-07-01,Norte,ACES Tâmega III - Vale do Sousa Norte,"41.2793583, -8.2787457",65.31711,105171,89.27622,143749,2016,7
2016-07-01,Norte,ACES Entre Douro e Vouga II - Aveiro Norte,"40.8472225, -8.4656674",63.30832,73915,89.01708,103931,2016,7
2016-08-01,Centro,Área dos CSP da ULS Região de Aveiro,"40.6405055, -8.6537539",64.88676,249280,85.86823,329886,2016,8
2016-08-01,Centro,Área dos CSP da ULS Guarda,"40.5353285, -7.2724426",64.78068,98534,86.06217,130904,2016,8
2016-08-01,Centro,ACES Pinhal Litoral,"39.7495331, -8.807683",60.24796,160412,83.07812,221198,2016,8
2016-08-01,Lisboa e Vale do Tejo,ACES Cascais,"38.69904, -9.3818008",42.20074,83284,66.51871,131276,2016,8
2016-08-01,Lisboa e Vale do Tejo,ACES Oeste Sul,"39.0917759, -9.2600341",57.70415,116773,81.57438,165078,2016,8
2016-08-01,Norte,ACES Grande Porto VIII - Espinho / Gaia,"41.0022421, -8.642018",66.8271,124132,89.13546,165570,2016,8
2016-08-01,Norte,ACES Tâmega III - Vale do Sousa Norte,"41.2793583, -8.2787457",67.88359,109353,89.64548,144409,2016,8
2016-08-01,Norte,Área dos CSP da ULS Matosinhos,"41.1918541, -8.6590693",66.0278,113997,87.97451,151888,2016,8
2016-08-01,Norte,Área dos CSP da ULS Alto Minho,"41.7056054, -8.8252713",69.43704,170829,89.20901,219472,2016,8
2016-08-01,Norte,Área dos CSP da ULS Nordeste,"41.8069684, -6.7587977",67.10136,89840,89.11769,119317,2016,8
2016-08-01,Norte,ACES Cávado I - Braga,"41.5518714, -8.4126362",65.71877,121422,89.206,164817,2016,8
2016-08-01,Norte,ACES Tâmega I - Baixo Tâmega,"41.2719719, -8.0791631",66.46058,113411,87.80502,149834,2016,8
2016-09-01,Alentejo,Área dos CSP da ULS Alentejo Central,"38.8442031, -7.5826619",70.02892,116970,89.58816,149640,2016,9
2016-09-01,Algarve,ACES Algarve III - Algarve Sotavento,"37.383008, -7.7293275",61.86507,34663,82.63073,46298,2016,9
2016-09-01,Algarve,ACES Algarve I - Algarve Central,"37.0274264, -7.9395984",53.17557,128260,74.74845,180294,2016,9
2016-09-01,Centro,ACES Beira Interior Sul,"39.8211367, -7.5036651",62.65914,46854,83.33155,62312,2016,9
2016-09-01,Centro,Área dos CSP da ULS Cova da Beira,"40.2677741, -7.4995083",61.72976,53416,81.34216,70387,2016,9
2016-09-01,Lisboa e Vale do Tejo,ACES Oeste Norte,"39.410844, -9.1396215",64.59779,115871,86.39483,154969,2016,9
2016-09-01,Lisboa e Vale do Tejo,ACES Lisboa Ocidental e Oeiras,"38.6914388, -9.3184304",50.84238,123096,73.75358,178567,2016,9
2016-09-01,Lisboa e Vale do Tejo,ACES Loures / Odivelas,"38.8012718, -9.1137868",52.91896,192507,73.62725,267839,2016,9
