tempo,regiao,instituicao,localizacao_geografica,tipo_de_especialidade,doentes_saidos,dias_de_internamento,ano,mes
2024-01-01,Norte,Instituto Português de Oncologia do Porto F. G.,"41.1811, -8.60469",Especialidade Cirurgica,530.0,4130.0,2024,1
2024-01-01,Lisboa e Vale do Tejo,Unidade Local de Saúde da Arrábida,"38.529351, -8.881073",Especialidade Cirurgica,374.0,2648.0,2024,1
2024-01-01,Norte,Unidade Local de Saúde de Braga,"41.562328338623, -8.3",Especialidade Cirurgica,1103.0,8161.0,2024,1
2024-01-01,Centro,Unidade Local de Saúde de Viseu Dão-Lafões,"40.6509, -7.91039",Especialidade Cirurgica,797.0,5588.0,2024,1
2024-01-01,Norte,Unidade Local de Saúde de Matosinhos,"41.181859, -8.663374",Especialidade Cirurgica,554.0,3638.0,2024,1
2024-01-01,Alentejo,Unidade Local de Saúde do Alentejo Central,"38.568838, -7.903064",Especialidade Cirurgica,497.0,3108.0,2024,1
2024-01-01,Alentejo,Unidade Local de Saúde do Baixo Alentejo,"38.0146, -7.86863",Especialidade Cirurgica,353.0,2107.0,2024,1
2024-01-01,Centro,Unidade Local de Saúde do Baixo Mondego,"40.130297609, -8.8606",Especialidade Cirurgica,152.0,1139.0,2024,1
2025-01-01,Centro,Unidade Local de Saúde da Guarda,"40.5309943471486, -7.0",Especialidade Cirurgica,262.0,2023.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,Unidade Local de Saúde da Lezíria,"39.232503, -8.715083",Especialidade Cirurgica,484.0,4261.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Almada-Seixal,"38.67381, -9.17597",Especialidade Cirurgica,720.0,5064.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Amadora/Sintra,"38.7436332060551, -9.0",Especialidade Cirurgica,786.0,5242.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Santa Maria,"38.7500648498535, -9.0",Especialidade Cirurgica,1294.0,7624.0,2025,1
2025-01-01,Norte,Unidade Local de Saúde de São João,"41.1833, -8.60193",Especialidade Cirurgica,2464.0,14310.0,2025,1
2025-01-01,Algarve,Unidade Local de Saúde do Algarve,"37.024668, -7.928949",Especialidade Cirurgica,1139.0,9327.0,2025,1
2025-01-01,Norte,Unidade Local de Saúde do Alto Minho,"41.697519, -8.832517",Especialidade Cirurgica,792.0,5179.0,2025,1
2025-01-01,Centro,Unidade Local de Saúde do Baixo Mondego,"40.130297609, -8.8606",Especialidade Cirurgica,169.0,1294.0,2025,1
2025-01-01,Norte,Unidade Local de Saúde do Médio Ave,"41.3422317504883, -8.0",Especialidade Cirurgica,474.0,2628.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Médio Tejo,"39.605565, -8.404399",Especialidade Cirurgica,536.0,3076.0,2025,1
2025-01-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Oeste,"39.4055519104004, -9.0",Especialidade Cirurgica,452.0,2846.0,2025,1
2024-02-01,Lisboa e Vale do Tejo,Hospital de Cascais,"38.730076, -9.418207",Especialidade Cirurgica,1167.0,5703.0,2024,2
2024-02-01,Centro,Unidade Local de Saúde de Castelo Branco,"39.822737, -7.499876",Especialidade Cirurgica,580.0,4033.0,2024,2
2024-02-01,Norte,Unidade Local de Saúde de Barcelos/Esposende,"41.533438, -8.616604",Especialidade Cirurgica,229.0,2003.0,2024,2
2024-02-01,Norte,Unidade Local de Saúde de Braga,"41.562328338623, -8.3",Especialidade Cirurgica,2248.0,15982.0,2024,2
2024-02-01,Norte,Unidade Local de Saúde de Entre Douro e Vouga,"40.9295, -8.54567",Especialidade Cirurgica,1480.0,8240.0,2024,2
2024-02-01,Norte,Unidade Local de Saúde de Matosinhos,"41.181859, -8.663374",Especialidade Cirurgica,1145.0,7208.0,2024,2
2024-02-01,Alentejo,Unidade Local de Saúde do Alentejo Central,"38.568838, -7.903064",Especialidade Cirurgica,934.0,5580.0,2024,2
2024-02-01,Alentejo,Unidade Local de Saúde do Litoral Alentejano,"38.039936, -8.731693",Especialidade Cirurgica,357.0,2296.0,2024,2
2024-02-01,Norte,Unidade Local de Saúde do Nordeste,"41.802452, -6.768198",Especialidade Cirurgica,785.0,4838.0,2024,2
2024-02-01,Norte,Unidade Local de Saúde do Tâmega e Sousa,"41.1971153671548, -8.0",Especialidade Cirurgica,1733.0,10820.0,2024,2
2025-02-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Almada-Seixal,"38.67381, -9.17597",Especialidade Cirurgica,1374.0,9421.0,2025,2
2025-02-01,Norte,Unidade Local de Saúde de Braga,"41.562328338623, -8.3",Especialidade Cirurgica,2722.0,16329.0,2025,2
2025-02-01,Norte,Unidade Local de Saúde de Matosinhos,"41.181859, -8.663374",Especialidade Cirurgica,1196.0,6573.0,2025,2
2025-02-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Santa Maria,"38.7500648498535, -9.0",Especialidade Cirurgica,2517.0,15109.0,2025,2
2025-02-01,Algarve,Unidade Local de Saúde do Algarve,"37.024668, -7.928949",Especialidade Cirurgica,2273.0,18411.0,2025,2
2025-02-01,Norte,Unidade Local de Saúde do Alto Minho,"41.697519, -8.832517",Especialidade Cirurgica,1593.0,9919.0,2025,2
2025-02-01,Centro,Unidade Local de Saúde do Baixo Mondego,"40.130297609, -8.8606",Especialidade Cirurgica,311.0,2350.0,2025,2
2025-02-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Estuário do Tejo,"38.977344, -8.984882",Especialidade Cirurgica,918.0,5217.0,2025,2
2024-03-01,Centro,Instituto Português de Oncologia de Coimbra F. G.,"40.217, -8.40991",Especialidade Cirurgica,800.0,4765.0,2024,3
2024-03-01,Lisboa e Vale do Tejo,Unidade Local de Saúde da Lezíria,"39.232503, -8.715083",Especialidade Cirurgica,1484.0,10418.0,2024,3
2024-03-01,Norte,Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde,"41.383183, -8.758784",Especialidade Cirurgica,1240.0,5738.0,2024,3
2024-03-01,Centro,Unidade Local de Saúde da Região de Aveiro,"40.636332, -8.654388",Especialidade Cirurgica,2091.0,11114.0,2024,3
2024-03-01,Centro,Unidade Local de Saúde da Região de Leiria,"39.7418, -8.79444",Especialidade Cirurgica,2040.0,12054.0,2024,3
2024-03-01,Norte,Unidade Local de Saúde de Braga,"41.562328338623, -8.3",Especialidade Cirurgica,3627.0,24901.0,2024,3
2024-03-01,Centro,Unidade Local de Saúde de Coimbra,"40.217426, -8.410075",Especialidade Cirurgica,7242.0,48251.0,2024,3
2024-03-01,Alentejo,Unidade Local de Saúde do Alentejo Central,"38.568838, -7.903064",Especialidade Cirurgica,1337.0,8292.0,2024,3
2024-03-01,Norte,Unidade Local de Saúde do Alto Minho,"41.697519, -8.832517",Especialidade Cirurgica,2211.0,15125.0,2024,3
2024-03-01,Norte,Unidade Local de Saúde do Tâmega e Sousa,"41.1971153671548, -8.0",Especialidade Cirurgica,2665.0,16220.0,2024,3
2025-03-01,Lisboa e Vale do Tejo,Hospital de Cascais,"38.730076, -9.418207",Especialidade Cirurgica,1707.0,7564.0,2025,3
2025-03-01,Lisboa e Vale do Tejo,Instituto Português de Oncologia de Lisboa F. G.,"38.739946, -9.161139",Especialidade Cirurgica,1453.0,7937.0,2025,3
2025-03-01,Norte,Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde,"41.383183, -8.758784",Especialidade Cirurgica,1197.0,5323.0,2025,3
2025-03-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Almada-Seixal,"38.67381, -9.17597",Especialidade Cirurgica,2132.0,14708.0,2025,3
2025-03-01,Norte,Unidade Local de Saúde de Vila Nova de Gaia/Espinho,"41.1254463195801, -8.0",Especialidade Cirurgica,4167.0,20457.0,2025,3
2025-03-01,Algarve,Unidade Local de Saúde do Algarve,"37.024668, -7.928949",Especialidade Cirurgica,3368.0,28174.0,2025,3
2025-03-01,Alentejo,Unidade Local de Saúde do Baixo Alentejo,"38.0146, -7.86863",Especialidade Cirurgica,1126.0,6607.0,2025,3
2024-04-01,Centro,Instituto Português de Oncologia de Coimbra F. G.,"40.217, -8.40991",Especialidade Cirurgica,1081.0,6340.0,2024,4
2024-04-01,Lisboa e Vale do Tejo,Instituto Português de Oncologia de Lisboa F. G.,"38.739946, -9.161139",Especialidade Cirurgica,2065.0,10761.0,2024,4
2024-04-01,Centro,Unidade Local de Saúde de Castelo Branco,"39.822737, -7.499876",Especialidade Cirurgica,1163.0,8247.0,2024,4
2024-04-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Almada-Seixal,"38.67381, -9.17597",Especialidade Cirurgica,3081.0,22255.0,2024,4
2024-04-01,Norte,Unidade Local de Saúde de Santo António,"41.147283, -8.619536",Especialidade Cirurgica,6382.0,40710.0,2024,4
2024-04-01,Algarve,Unidade Local de Saúde do Algarve,"37.024668, -7.928949",Especialidade Cirurgica,4926.0,39120.0,2024,4
2024-04-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Oeste,"39.4055519104004, -9.0",Especialidade Cirurgica,1974.0,11832.0,2024,4
2025-04-01,Centro,Unidade Local de Saúde da Cova da Beira,"40.2776794433594, -7.0",Especialidade Cirurgica,1358.0,9605.0,2025,4
2025-04-01,Centro,Unidade Local de Saúde da Região de Aveiro,"40.636332, -8.654388",Especialidade Cirurgica,2743.0,14589.0,2025,4
2025-04-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Lisboa Ocidental,"38.7084, -9.21711",Especialidade Cirurgica,4116.0,31404.0,2025,4
2025-04-01,Norte,Unidade Local de Saúde de Trás-os-Montes e Alto Douro,"41.310331, -7.760103",Especialidade Cirurgica,3169.0,20269.0,2025,4
2025-04-01,Alentejo,Unidade Local de Saúde do Litoral Alentejano,"38.039936, -8.731693",Especialidade Cirurgica,717.0,0.0,2025,4
2024-05-01,Centro,Instituto Português de Oncologia de Coimbra F. G.,"40.217, -8.40991",Especialidade Cirurgica,1405.0,7944.0,2024,5
2024-05-01,Lisboa e Vale do Tejo,Unidade Local de Saúde da Arrábida,"38.529351, -8.881073",Especialidade Cirurgica,2085.0,14148.0,2024,5
2024-05-01,Centro,Unidade Local de Saúde da Região de Aveiro,"40.636332, -8.654388",Especialidade Cirurgica,3743.0,18811.0,2024,5
2024-05-01,Centro,Unidade Local de Saúde de Viseu Dão-Lafões,"40.6509, -7.91039",Especialidade Cirurgica,4448.0,32627.0,2024,5
2024-05-01,Norte,Unidade Local de Saúde de Entre Douro e Vouga,"40.9295, -8.54567",Especialidade Cirurgica,4091.0,22186.0,2024,5
2024-05-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Santa Maria,"38.7500648498535, -9.0",Especialidade Cirurgica,5766.0,35056.0,2024,5
2024-05-01,Norte,Unidade Local de Saúde de São João,"41.1833, -8.60193",Especialidade Cirurgica,11968.0,70184.0,2024,5
2024-05-01,Centro,Unidade Local de Saúde do Baixo Mondego,"40.130297609, -8.8606",Especialidade Cirurgica,1018.0,6793.0,2024,5
2024-05-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Estuário do Tejo,"38.977344, -8.984882",Especialidade Cirurgica,2065.0,14781.0,2024,5
2024-05-01,Alentejo,Unidade Local de Saúde do Litoral Alentejano,"38.039936, -8.731693",Especialidade Cirurgica,952.0,5877.0,2024,5
2024-05-01,Norte,Unidade Local de Saúde do Médio Ave,"41.3422317504883, -8.0",Especialidade Cirurgica,2326.0,13760.0,2024,5
2025-05-01,Norte,Instituto Português de Oncologia do Porto F. G.,"41.1811, -8.60469",Especialidade Cirurgica,2772.0,19249.0,2025,5
2025-05-01,Centro,Unidade Local de Saúde da Cova da Beira,"40.2776794433594, -7.0",Especialidade Cirurgica,1742.0,12241.0,2025,5
2025-05-01,Lisboa e Vale do Tejo,Unidade Local de Saúde da Lezíria,"39.232503, -8.715083",Especialidade Cirurgica,2414.0,19211.0,2025,5
2025-05-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Almada-Seixal,"38.67381, -9.17597",Especialidade Cirurgica,3696.0,24684.0,2025,5
2025-05-01,Norte,Unidade Local de Saúde de Braga,"41.562328338623, -8.3",Especialidade Cirurgica,7121.0,41758.0,2025,5
2025-05-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Santa Maria,"38.7500648498535, -9.0",Especialidade Cirurgica,6746.0,39136.0,2025,5
2025-05-01,Norte,Unidade Local de Saúde do Alto Minho,"41.697519, -8.832517",Especialidade Cirurgica,3908.0,25420.0,2025,5
2025-05-01,Norte,Unidade Local de Saúde do Médio Ave,"41.3422317504883, -8.0",Especialidade Cirurgica,2366.0,13849.0,2025,5
2025-05-01,Norte,Unidade Local de Saúde do Tâmega e Sousa,"41.1971153671548, -8.0",Especialidade Cirurgica,4541.0,28218.0,2025,5
2024-06-01,Lisboa e Vale do Tejo,Instituto Português de Oncologia de Lisboa F. G.,"38.739946, -9.161139",Especialidade Cirurgica,3110.0,16094.0,2024,6
2024-06-01,Centro,Unidade Local de Saúde da Cova da Beira,"40.2776794433594, -7.0",Especialidade Cirurgica,1929.0,15290.0,2024,6
2024-06-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de São José,"38.7169, -9.13654",Especialidade Cirurgica,12469.0,75450.0,2024,6
2024-06-01,Norte,Unidade Local de Saúde do Alto Ave,"41.488574, -8.338685",Especialidade Cirurgica,5913.0,33034.0,2024,6
2024-06-01,Centro,Unidade Local de Saúde do Baixo Mondego,"40.130297609, -8.8606",Especialidade Cirurgica,1216.0,8179.0,2024,6
2024-06-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Médio Tejo,"39.605565, -8.404399",Especialidade Cirurgica,3633.0,20319.0,2024,6
2025-06-01,Lisboa e Vale do Tejo,Hospital de Cascais,"38.730076, -9.418207",Especialidade Cirurgica,3394.0,14912.0,2025,6
2025-06-01,Centro,Unidade Local de Saúde da Cova da Beira,"40.2776794433594, -7.0",Especialidade Cirurgica,2119.0,14786.0,2025,6
2025-06-01,Lisboa e Vale do Tejo,Unidade Local de Saúde da Lezíria,"39.232503, -8.715083",Especialidade Cirurgica,2820.0,22582.0,2025,6
2025-06-01,Norte,Unidade Local de Saúde de Entre Douro e Vouga,"40.9295, -8.54567",Especialidade Cirurgica,5323.0,26285.0,2025,6
2025-06-01,Algarve,Unidade Local de Saúde do Algarve,"37.024668, -7.928949",Especialidade Cirurgica,6751.0,56832.0,2025,6
2025-06-01,Centro,Unidade Local de Saúde do Baixo Mondego,"40.130297609, -8.8606",Especialidade Cirurgica,1133.0,7601.0,2025,6
2025-06-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Oeste,"39.4055519104004, -9.0",Especialidade Cirurgica,2790.0,17959.0,2025,6
2024-07-01,Centro,Unidade Local de Saúde da Guarda,"40.5309943471486, -7.0",Especialidade Cirurgica,1581.0,14578.0,2024,7
2024-07-01,Norte,Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde,"41.383183, -8.758784",Especialidade Cirurgica,2932.0,13407.0,2024,7
2024-07-01,Centro,Unidade Local de Saúde da Região de Aveiro,"40.636332, -8.654388",Especialidade Cirurgica,5235.0,26244.0,2024,7
2024-07-01,Norte,Unidade Local de Saúde de São João,"41.1833, -8.60193",Especialidade Cirurgica,16738.0,98169.0,2024,7
2024-07-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Arco Ribeirinho,"38.6527214050293, -9.0",Especialidade Cirurgica,3086.0,19493.0,2024,7
2024-07-01,Alentejo,Unidade Local de Saúde do Litoral Alentejano,"38.039936, -8.731693",Especialidade Cirurgica,0.0,8260.0,2024,7
2024-07-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Oeste,"39.4055519104004, -9.0",Especialidade Cirurgica,3485.0,21105.0,2024,7
2025-07-01,Centro,Instituto Português de Oncologia de Coimbra F. G.,"40.217, -8.40991",Especialidade Cirurgica,2209.0,10499.0,2025,7
2025-07-01,Norte,Instituto Português de Oncologia do Porto F. G.,"41.1811, -8.60469",Especialidade Cirurgica,3822.0,27025.0,2025,7
2025-07-01,Centro,Unidade Local de Saúde de Castelo Branco,"39.822737, -7.499876",Especialidade Cirurgica,2010.0,14076.0,2025,7
2025-07-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Amadora/Sintra,"38.7436332060551, -9.0",Especialidade Cirurgica,5668.0,39609.0,2025,7
2025-07-01,Norte,Unidade Local de Saúde de Barcelos/Esposende,"41.533438, -8.616604",Especialidade Cirurgica,1002.0,7934.0,2025,7
2025-07-01,Norte,Unidade Local de Saúde de Matosinhos,"41.181859, -8.663374",Especialidade Cirurgica,4254.0,25667.0,2025,7
2025-07-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de São José,"38.7169, -9.13654",Especialidade Cirurgica,14579.0,86251.0,2025,7
2025-07-01,Alentejo,Unidade Local de Saúde do Alentejo Central,"38.568838, -7.903064",Especialidade Cirurgica,3044.0,19317.0,2025,7
2025-07-01,Norte,Unidade Local de Saúde do Alto Minho,"41.697519, -8.832517",Especialidade Cirurgica,5523.0,35967.0,2025,7
2025-07-01,Centro,Unidade Local de Saúde do Baixo Mondego,"40.130297609, -8.8606",Especialidade Cirurgica,1345.0,8873.0,2025,7
2025-07-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Estuário do Tejo,"38.977344, -8.984882",Especialidade Cirurgica,2918.0,18448.0,2025,7
2024-08-01,Lisboa e Vale do Tejo,Instituto Português de Oncologia de Lisboa F. G.,"38.739946, -9.161139",Especialidade Cirurgica,4156.0,21752.0,2024,8
2024-08-01,Centro,Unidade Local de Saúde da Guarda,"40.5309943471486, -7.0",Especialidade Cirurgica,1801.0,16637.0,2024,8
2024-08-01,Norte,Unidade Local de Saúde de Entre Douro e Vouga,"40.9295, -8.54567",Especialidade Cirurgica,6600.0,35203.0,2024,8
2024-08-01,Norte,Unidade Local de Saúde de Matosinhos,"41.181859, -8.663374",Especialidade Cirurgica,4759.0,29383.0,2024,8
2024-08-01,Norte,Unidade Local de Saúde de Santo António,"41.147283, -8.619536",Especialidade Cirurgica,12023.0,79275.0,2024,8
2024-08-01,Algarve,Unidade Local de Saúde do Algarve,"37.024668, -7.928949",Especialidade Cirurgica,9627.0,78055.0,2024,8
2024-08-01,Norte,Unidade Local de Saúde do Alto Ave,"41.488574, -8.338685",Especialidade Cirurgica,7952.0,45149.0,2024,8
2024-08-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Estuário do Tejo,"38.977344, -8.984882",Especialidade Cirurgica,3494.0,23601.0,2024,8
2024-08-01,Alentejo,Unidade Local de Saúde do Litoral Alentejano,"38.039936, -8.731693",Especialidade Cirurgica,1479.0,9402.0,2024,8
2024-08-01,Norte,Unidade Local de Saúde do Médio Ave,"41.3422317504883, -8.0",Especialidade Cirurgica,3634.0,21620.0,2024,8
2024-08-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Médio Tejo,"39.605565, -8.404399",Especialidade Cirurgica,4773.0,27216.0,2024,8
2025-08-01,Centro,Unidade Local de Saúde da Região de Leiria,"39.7418, -8.79444",Especialidade Cirurgica,5696.0,33621.0,2025,8
2025-08-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Amadora/Sintra,"38.7436332060551, -9.0",Especialidade Cirurgica,6508.0,45844.0,2025,8
2025-08-01,Centro,Unidade Local de Saúde de Coimbra,"40.217426, -8.410075",Especialidade Cirurgica,20360.0,132909.0,2025,8
2025-08-01,Norte,Unidade Local de Saúde de Entre Douro e Vouga,"40.9295, -8.54567",Especialidade Cirurgica,7172.0,34987.0,2025,8
2025-08-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Lisboa Ocidental,"38.7084, -9.21711",Especialidade Cirurgica,8275.0,63445.0,2025,8
2025-08-01,Norte,Unidade Local de Saúde de Trás-os-Montes e Alto Douro,"41.310331, -7.760103",Especialidade Cirurgica,6538.0,41065.0,2025,8
2025-08-01,Alentejo,Unidade Local de Saúde do Alentejo Central,"38.568838, -7.903064",Especialidade Cirurgica,3476.0,22068.0,2025,8
2025-08-01,Norte,Unidade Local de Saúde do Alto Minho,"41.697519, -8.832517",Especialidade Cirurgica,6235.0,41129.0,2025,8
2025-08-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Arco Ribeirinho,"38.6527214050293, -9.0",Especialidade Cirurgica,3155.0,20704.0,2025,8
2025-08-01,Norte,Unidade Local de Saúde do Tâmega e Sousa,"41.1971153671548, -8.0",Especialidade Cirurgica,7455.0,46032.0,2025,8
2024-09-01,Lisboa e Vale do Tejo,Hospital de Cascais,"38.730076, -9.418207",Especialidade Cirurgica,5307.0,24519.0,2024,9
2024-09-01,Centro,Instituto Português de Oncologia de Coimbra F. G.,"40.217, -8.40991",Especialidade Cirurgica,2648.0,16578.0,2024,9
2024-09-01,Lisboa e Vale do Tejo,Unidade Local de Saúde da Arrábida,"38.529351, -8.881073",Especialidade Cirurgica,3627.0,23705.0,2024,9
2024-09-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Almada-Seixal,"38.67381, -9.17597",Especialidade Cirurgica,7050.0,49368.0,2024,9
2024-09-01,Centro,Unidade Local de Saúde de Viseu Dão-Lafões,"40.6509, -7.91039",Especialidade Cirurgica,8142.0,59043.0,2024,9
2024-09-01,Norte,Unidade Local de Saúde de Vila Nova de Gaia/Espinho,"41.1254463195801, -8.0",Especialidade Cirurgica,11729.0,60081.0,2024,9
2024-09-01,Alentejo,Unidade Local de Saúde do Alto Alentejo,"39.2999, -7.4267",Especialidade Cirurgica,2350.0,18198.0,2024,9
2024-09-01,Norte,Unidade Local de Saúde do Alto Ave,"41.488574, -8.338685",Especialidade Cirurgica,9001.0,51089.0,2024,9
2024-09-01,Norte,Unidade Local de Saúde do Alto Minho,"41.697519, -8.832517",Especialidade Cirurgica,6683.0,44336.0,2024,9
2024-09-01,Alentejo,Unidade Local de Saúde do Baixo Alentejo,"38.0146, -7.86863",Especialidade Cirurgica,3269.0,20093.0,2024,9
2025-09-01,Lisboa e Vale do Tejo,Unidade Local de Saúde da Lezíria,"39.232503, -8.715083",Especialidade Cirurgica,4222.0,33203.0,2025,9
2025-09-01,Norte,Unidade Local de Saúde de Braga,"41.562328338623, -8.3",Especialidade Cirurgica,12745.0,92855.0,2025,9
2025-09-01,Centro,Unidade Local de Saúde de Coimbra,"40.217426, -8.410075",Especialidade Cirurgica,22972.0,150333.0,2025,9
2025-09-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Loures/Odivelas,"38.821769, -9.176301",Especialidade Cirurgica,5225.0,30480.0,2025,9
2025-09-01,Norte,Unidade Local de Saúde de Matosinhos,"41.181859, -8.663374",Especialidade Cirurgica,5493.0,33696.0,2025,9
2025-09-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de São José,"38.7169, -9.13654",Especialidade Cirurgica,18777.0,111740.0,2025,9
2025-09-01,Algarve,Unidade Local de Saúde do Algarve,"37.024668, -7.928949",Especialidade Cirurgica,10364.0,87202.0,2025,9
2025-09-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Estuário do Tejo,"38.977344, -8.984882",Especialidade Cirurgica,3629.0,23316.0,2025,9
2025-09-01,Alentejo,Unidade Local de Saúde do Litoral Alentejano,"38.039936, -8.731693",Especialidade Cirurgica,1577.0,9810.0,2025,9
2024-10-01,Lisboa e Vale do Tejo,Hospital de Cascais,"38.730076, -9.418207",Especialidade Cirurgica,5951.0,27411.0,2024,10
2024-10-01,Norte,Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde,"41.383183, -8.758784",Especialidade Cirurgica,4209.0,18737.0,2024,10
2024-10-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Almada-Seixal,"38.67381, -9.17597",Especialidade Cirurgica,7879.0,54835.0,2024,10
2024-10-01,Norte,Unidade Local de Saúde de Braga,"41.562328338623, -8.3",Especialidade Cirurgica,15136.0,88298.0,2024,10
2024-10-01,Centro,Unidade Local de Saúde de Viseu Dão-Lafões,"40.6509, -7.91039",Especialidade Cirurgica,9174.0,65828.0,2024,10
2024-10-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Santa Maria,"38.7500648498535, -9.0",Especialidade Cirurgica,11455.0,68786.0,2024,10
2024-10-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de São José,"38.7169, -9.13654",Especialidade Cirurgica,21490.0,127602.0,2024,10
2024-10-01,Alentejo,Unidade Local de Saúde do Alto Alentejo,"39.2999, -7.4267",Especialidade Cirurgica,2604.0,20093.0,2024,10
2024-10-01,Alentejo,Unidade Local de Saúde do Litoral Alentejano,"38.039936, -8.731693",Especialidade Cirurgica,1851.0,11762.0,2024,10
2025-10-01,Lisboa e Vale do Tejo,Instituto Português de Oncologia de Lisboa F. G.,"38.739946, -9.161139",Especialidade Cirurgica,4801.0,25713.0,2025,10
2025-10-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Santa Maria,"38.7500648498535, -9.0",Especialidade Cirurgica,13195.0,75138.0,2025,10
2025-10-01,Norte,Unidade Local de Saúde de Trás-os-Montes e Alto Douro,"41.310331, -7.760103",Especialidade Cirurgica,8193.0,51085.0,2025,10
2025-10-01,Norte,Unidade Local de Saúde de Vila Nova de Gaia/Espinho,"41.1254463195801, -8.0",Especialidade Cirurgica,13739.0,68509.0,2025,10
2025-10-01,Lisboa e Vale do Tejo,Unidade Local de Saúde do Arco Ribeirinho,"38.6527214050293, -9.0",Especialidade Cirurgica,4043.0,26145.0,2025,10
2025-10-01,Alentejo,Unidade Local de Saúde do Baixo Alentejo,"38.0146, -7.86863",Especialidade Cirurgica,3826.0,21921.0,2025,10
2025-10-01,Centro,Unidade Local de Saúde do Baixo Mondego,"40.130297609, -8.8606",Especialidade Cirurgica,1924.0,12584.0,2025,10
2025-10-01,Norte,Unidade Local de Saúde do Tâmega e Sousa,"41.1971153671548, -8.0",Especialidade Cirurgica,9443.0,57651.0,2025,10
2024-11-01,Centro,Unidade Local de Saúde da Cova da Beira,"40.2776794433594, -7.0",Especialidade Cirurgica,3572.0,28154.0,2024,11
2024-11-01,Lisboa e Vale do Tejo,Unidade Local de Saúde da Lezíria,"39.232503, -8.715083",Especialidade Cirurgica,5416.0,39818.0,2024,11
2024-11-01,Centro,Unidade Local de Saúde da Região de Aveiro,"40.636332, -8.654388",Especialidade Cirurgica,6089.0,41485.0,2024,11
2024-11-01,Centro,Unidade Local de Saúde da Região de Leiria,"39.7418, -8.79444",Especialidade Cirurgica,7431.0,45452.0,2024,11
2024-11-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Almada-Seixal,"38.67381, -9.17597",Especialidade Cirurgica,8657.0,60197.0,2024,11
2024-11-01,Norte,Unidade Local de Saúde de Barcelos/Esposende,"41.533438, -8.616604",Especialidade Cirurgica,1508.0,11524.0,2024,11
2024-11-01,Centro,Unidade Local de Saúde de Coimbra,"40.217426, -8.410075",Especialidade Cirurgica,27784.0,188139.0,2024,11
2024-11-01,Lisboa e Vale do Tejo,Unidade Local de Saúde de Loures/Odivelas,"38.821769, -9.176301",Especialidade Cirurgica,6634.0,39112.0,2024,11
2024-11-01,Norte,Unidade Local de Saúde de Santo António,"41.147283, -8.619536",Especialidade Cirurgica,16744.0,109147.0,2024,11
2024-11-01,Norte,Unidade Local de Saúde de Vila Nova de Gaia/Espinho,"41.1254463195801, -8.0",Especialidade Cirurgica,14563.0,73376.0,2024,11
2024-11-01,Alentejo,Unidade Local de Saúde do Alentejo Central,"38.568838, -7.903064",Especialidade Cirurgica,4661.0,29645.0,2024,11
2024-11-01,Alentejo,Unidade Local de Saúde do Baixo Alentejo,"38.0146, -7.86863",Especialidade Cirurgica,4078.0,24500.0,2024,11
